"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "I1" "I2" "I3" "I4"
3.793 3.371 3.484 3.15 3.732 3.189 1.883 2.783 1.214 2.606 0.9 0.897 1.922 1.766
0.626 3.141 1.553 2.755 2.083 2.954 2.808 2.813 2.166 2.021 1.088 0.927 2.062 1.981
1.941 2.881 1.719 2.869 1.646 2.925 2.568 3.128 2.653 3.894 1.019 0.908 1.972 2.265
2.845 3.271 2.216 2.974 2.839 2.725 0.912 2.584 0.862 2.068 0.848 1.158 2.16 2.048
3.851 3.473 3.825 3.33 3.291 2.978 3.939 3.283 2.638 3.583 0.97 1.286 1.985 2.12
3.153 3.635 2.439 2.981 2.386 2.79 2.563 2.663 3.577 2.48 1.011 0.929 2.151 1.839
2.571 3.216 3.252 2.949 2.672 3.261 3.299 3.248 2.026 3.917 1.081 1.068 2.042 2
3.235 2.174 2.667 1.965 2.658 2.74 1.325 2.023 1.753 1.946 0.854 0.972 1.926 1.979
0.854 2.818 1.271 2.749 2.475 2.702 3.054 2.864 2.313 3.135 1.171 0.977 1.839 1.868
2.007 3.038 2.192 2.404 2.233 1.092 1.309 1.352 2.064 0.714 0.839 0.95 1.948 1.992
2.43 1.746 1.617 1.442 1.202 1.721 2.224 1.177 1.57 2.125 0.997 0.893 2.118 1.914
2.943 4.502 3.71 4.187 3.261 4.064 2.922 4.199 4.12 4.323 0.914 1.003 2.021 1.95
1.944 1.988 2.519 2.439 3.348 2.148 3.128 2.737 3.548 2.83 0.919 1.052 1.979 1.834
2.372 2.508 2.632 2.926 3.892 3.655 2.539 2.622 1.348 2.954 0.928 0.969 1.889 1.901
2.153 3.802 2.748 3.137 4.901 2.498 3.283 2.192 2.965 2.153 0.941 1.031 2.184 1.912
2.374 2.806 1.991 2.99 2.866 3.39 1.92 2.697 3.227 2.26 0.938 0.925 1.93 2.172
0.367 2.103 1.099 2.471 1.64 2.689 2.038 3.02 2.292 3.444 0.92 0.886 2.088 1.93
1.751 2.752 1.781 2.655 2.256 2.235 2.537 3.222 3.107 3.062 0.873 0.887 2.081 1.928
2.059 3.41 2.894 3.001 3.763 2.913 3.278 3.604 3.338 3.105 0.986 1.062 2.035 2.071
2.483 3.079 3.053 3.005 3.395 2.937 2.075 3.106 1.101 3.017 0.796 0.938 2.135 2.076
2.497 2.418 1.986 2.311 2.925 2.19 0.937 2.664 1.826 2.292 1.086 1.161 1.936 1.914
1.765 2.772 2.587 2.751 2.175 3.219 2.36 3.007 2.244 3.354 0.95 1.034 2.14 2.046
2.297 3.5 3.235 3.276 3.405 3.68 3.083 3.919 1.531 2.65 0.891 0.876 2.123 1.801
2.28 3.618 3.642 4.058 3.402 3.914 2.985 3.532 3.132 2.938 0.927 0.99 2.029 2.037
2.211 2.418 2.735 2.172 1.249 2.615 1.844 2.253 2.917 2.12 0.838 1.211 2.3 1.962
2.479 3.565 2.856 3.212 2.575 2.664 1.978 2.864 3.92 3.095 0.823 0.811 2.01 1.893
2.614 2.462 2.745 1.933 4.004 1.941 2.458 1.482 2.246 1.986 1.052 1.018 1.969 2.025
2.87 2.5 3.896 3.337 3.6 2.78 3.418 3.1 2.783 3.775 0.972 0.854 2.028 1.952
1.161 2.201 1.31 2.324 1.146 2.239 2.555 2.756 1.885 2.927 0.922 1.187 1.85 2.051
0.646 1.733 2.097 1.454 2.112 1.082 2.641 0.989 2.041 1.648 1.206 0.96 1.88 1.897
2.604 1.724 3.461 1.325 2.798 0.952 2.336 2.295 1.718 2.692 1.034 0.889 1.908 2.051
2.296 3.029 1.648 2.606 1.137 2.791 1.554 3.499 2.644 4.224 1.107 1.001 2.014 2.099
1.331 2.402 1.717 1.551 2.227 1.313 1.516 1.465 2.188 1.451 1.125 0.97 1.896 2.004
3.032 2.283 2.603 2.558 1.964 2.56 2.272 2.984 3.56 2.393 0.971 1.04 1.954 1.961
2.51 2.482 1.344 2.334 2.131 2.554 0.898 2.769 2.636 2.537 0.967 0.759 1.998 2.071
1.926 3.507 2.098 2.934 1.671 2.459 1.667 2.895 3.467 3.828 1.062 0.867 2.113 2.008
3.454 3.153 2.717 2.389 2.491 2.058 2.513 3.605 2.863 3.697 1.192 0.826 2.024 1.916
3.026 2.569 3.46 2.717 2.208 2.859 1.684 3.137 2.799 2.771 1.097 1.04 2.071 1.998
2.035 3.006 1.98 2.542 2.76 2.629 3.458 2.885 3.697 3.209 1.133 1.046 1.876 2.028
1.113 2.084 2.659 2.549 2.134 2.214 3.483 2.677 4.137 3.837 1.027 0.857 1.897 2.06
0.96 2.044 1.084 2.307 1.415 1.79 3.68 2.782 3.277 2.424 1.196 0.999 1.961 2.001
2.456 3.476 2.039 3.469 2.729 3.995 3.282 3.798 3.008 2.798 0.867 0.783 1.955 2.098
2.497 2.384 3.135 3.129 2.9 2.713 3.465 3.157 2.7 3.63 1.004 1.049 1.976 1.991
1.935 3.185 2.091 2.872 2.965 2.305 2.976 2.507 3.084 2.289 0.959 1.102 2.092 1.928
2.463 3.379 2.559 3.117 2.359 2.407 2.151 2.179 0.73 2.965 1.078 0.958 2.15 2.026
1.67 1.75 2.567 2.152 2.053 2.298 2.196 2.627 2.842 1.753 0.997 0.955 2.028 1.933
2.8 2.803 2.986 2.123 2.565 3.053 2.877 2.038 1.506 2.615 1.039 1.051 1.996 1.981
2.61 3.582 2.846 3.431 2.75 3.507 1.839 4.201 1.72 3.37 1.142 1.023 1.997 1.944
2.738 3.975 3.539 3.458 3.398 3.782 4.332 3.344 2.414 2.642 1.003 1.141 1.934 1.966
4.431 2.217 4.874 2.642 3.249 2.896 3.257 3.026 1.543 3.043 0.897 1.1 2.094 2.207
2.104 2.035 1.495 1.132 1.646 1.276 1.497 1.382 1.779 1.711 1.094 1.222 1.984 2.062
2.992 3.356 2.405 3.091 2.802 3.33 2.674 2.224 2.782 2.569 0.906 0.872 2.079 2.122
3.583 3.147 2.576 2.974 2.459 3.155 2.887 3.402 3.006 2.95 0.878 1.046 1.799 2.143
2.239 3.69 2.784 3.808 3.364 4.302 2.339 4.325 2.303 3.72 0.943 1.053 1.937 2.024
2.922 2.666 3.508 2.546 3.109 2.722 1.841 3.093 1.041 2.469 0.904 0.97 2.112 1.941
1.45 2.381 2.42 1.96 2.835 1.956 3.059 2.404 3.068 2.089 1.083 0.774 1.917 1.919
2.484 2.792 2.121 3.037 3.537 2.96 2.85 3.697 3.003 4.315 0.957 0.949 2.098 1.924
3.213 3.719 3.125 2.755 3.015 2.574 2.241 2.824 3.26 3.051 0.967 0.956 1.825 1.8
3.048 2.942 2.782 2.207 3.074 3.152 2.641 2.029 2.269 1.932 1.065 1.158 1.919 1.959
2.971 3.841 3.364 3.896 2.74 4.224 3.918 4.801 2.989 4.146 0.832 0.998 1.949 1.972
3.44 2.932 3.2 2.933 2.859 2.883 3.238 2.624 2.311 1.543 1.041 0.949 1.847 1.802
1.145 2.552 0.36 2.966 0.997 1.999 3.08 1.353 2.936 1.983 1.022 0.949 2.021 1.968
2.216 2.829 1.388 2.368 0.523 2.319 2.708 2.928 3.992 2.955 1.001 0.986 1.944 2.038
2.869 3.198 2.562 3.41 2.92 3.275 2.404 3.235 3.285 3.496 1.114 0.934 1.944 2.054
2.128 2.454 2.572 2.788 2.411 2.398 1.647 2.115 1.228 1.959 1.155 1.057 1.971 2.043
3.009 3.023 2.221 2.613 2.509 1.867 2.821 1.677 1.714 2.714 1.088 1.069 2.117 1.971
1.49 2.003 1.156 1.734 1.998 1.986 1.753 1.985 1.633 3.301 1.138 0.98 2.202 2.095
2.523 3.291 3.038 3.195 2.816 2.63 1.888 3.183 1.67 3.165 1.134 1.043 1.973 1.903
2.13 2.79 2.233 2.946 3.069 3.262 2.926 3.558 3.985 3.316 0.924 1.056 1.992 1.871
2.964 3.142 2.684 2.971 3.951 3.436 3.616 3.338 3.366 3.284 0.97 0.915 1.974 2.131
2.72 3.604 2.466 4.138 3.397 3.466 3.992 3.052 4.222 3.038 1.1 1.039 2.065 1.901
0.708 2.426 2.072 1.641 1.199 1.089 1.667 1.02 1.499 1.805 1.057 1.074 2.096 1.989
2.967 2.182 2.75 2.292 3.369 1.842 1.577 1.44 2.589 2.103 0.969 1.043 2.362 1.941
3.204 2.918 3.15 2.953 3.037 2.74 3.727 2.801 3.396 3.028 1.072 1.046 1.922 2.054
3.718 3.214 2.906 2.896 2.911 2.347 3.815 3.363 2.491 3.262 0.941 0.955 1.747 2.039
2.866 2.275 3.444 2.487 2.842 2.661 1.99 2.266 2.446 2.852 0.913 0.963 1.879 2.113
2.445 3.136 2.403 3.035 1.602 2.936 1.795 2.218 2.179 1.625 0.963 0.96 1.938 2.231
1.985 1.798 1.916 1.557 2.727 1.136 1.968 0.608 1.611 1.313 1.051 1.002 2.141 2.065
3.149 2.14 2.194 2.089 2.426 2.756 1.9 2.365 3.306 2.266 0.987 0.961 2.058 2.002
2.793 3.177 2.064 3.316 2.859 2.794 2.171 2.581 3.052 2.482 1.068 1.048 2.025 1.881
1.082 1.988 2.282 1.6 2.087 1.546 2.334 1.959 2.298 1.919 1.028 1.076 1.932 2.018
1.47 2.539 1.526 2.094 0.201 1.689 2.214 1.848 1.417 1.891 0.971 1.017 2.136 2.056
2.697 3.356 3.218 3.996 3.505 4.043 2.707 3.774 2.206 3.278 0.938 1.176 1.878 1.935
4.255 3.399 3.367 3.414 3.673 4.116 3.669 3.347 4.464 2.979 1.023 0.871 1.949 1.915
2.673 2.542 1.575 2.853 1.092 2.413 1.933 2.096 1.147 1.964 0.956 1.135 2.259 2.016
1.175 3.29 1.257 2.462 2.511 3.129 2.63 3.156 3.287 3.753 0.833 1.118 1.926 1.944
1.932 3.7 2.972 3.418 3.74 3.695 4.024 3.358 3.685 3.448 1.067 0.874 1.917 2.049
2.535 3.923 2.952 3.515 3.194 3.542 2.854 3.375 4.649 3.323 0.992 0.843 1.979 1.908
2.278 3.064 2.512 2.749 1.92 3.044 2.499 2.751 2.286 1.866 0.946 0.823 2.005 2.113
2.106 3.45 1.409 2.521 1.494 2.438 3.147 2.321 2.381 1.832 1.001 1.103 1.919 1.979
3.201 3.745 4.07 3.675 2.811 3.112 3.243 2.87 2.956 2.277 0.954 1.017 1.907 1.961
1.777 2.049 1.638 2.17 1.959 2.433 2.728 2.602 2.1 3.471 1.113 0.836 1.919 1.817
4.099 3.741 4.695 3.435 4.801 3.976 3.64 3.829 3.213 3.426 0.953 0.975 2.233 2.021
2.434 4.135 4.108 4.525 3.581 4.093 3.594 4.386 4.253 4.104 1.044 0.949 1.968 2.196
4.064 3.685 4.235 4.032 5.475 3.723 3.039 3.79 2.805 3.786 1.042 0.997 2.171 1.999
2.637 3.141 2.299 2.518 3.256 2.655 2.012 2.292 2.116 2.82 0.999 0.975 2.228 1.986
2.393 3.684 2.774 3.442 2.722 3.305 2.567 3.839 1.958 3.837 1.132 0.961 2.063 1.833
2.086 2.507 2.34 1.861 2.575 1.832 2.862 1.675 1.197 1.611 0.902 1.2 2.009 2.017
1.817 2.198 1.973 2.308 1.924 2.657 1.662 2.951 2.391 2.759 1.121 1.085 2.024 2.11
1.095 2.707 1.925 3.061 2.947 3.116 1.831 2.246 2.265 1.981 0.987 1.16 2.014 2.108
1.16 2.828 1.759 2.676 1.332 2.293 1.419 1.901 2.281 1.866 1.042 0.961 2.082 2.018
1.195 1.364 1.27 1.386 2.654 1.367 1.452 1.18 1.922 1.629 0.807 0.749 1.998 2.051
3.231 3.25 3.714 3.531 3.918 3.466 3.983 3.296 3.751 3.2 0.814 1.059 2.058 1.895
1.658 1.779 1.808 1.883 2.447 2.098 2.182 1.963 3.398 2.293 1.166 0.926 1.873 2.162
1.699 2.838 2.316 3.229 2.378 3.182 2.02 3.494 2.722 3.545 1.028 1.17 1.826 2.007
3.114 2.3 2.305 1.865 1.971 1.593 2.193 1.239 1.011 1.48 1.05 0.688 2.02 2.203
3.347 3.451 2.723 3.679 2.746 3.628 3.217 4.188 4.009 4.36 1.064 1.045 2.102 2.208
4.032 3.895 4.538 4.278 4.188 3.667 2.488 3.518 2.485 3.435 1.031 1.134 2.065 1.955
3.292 4.192 4.681 4.287 4.378 4.113 5.136 4.171 4.627 4.715 0.858 1.052 1.926 2.064
1.788 0.528 1.537 1.243 1.194 0.838 2.459 0.328 2.25 1.353 0.973 0.866 1.775 2.006
2.269 3.166 2.701 3.298 2.9 3.274 3.222 4.164 3.56 4.37 1.032 0.989 1.849 2.045
2.404 3.213 2.68 3.009 2.109 3.686 2.046 3.345 2.357 2.47 1.138 1.02 1.814 2.093
0.836 1.585 0.948 1.667 2.481 1.812 3.34 2.098 1.943 2.16 0.859 1.199 2.154 1.878
2.271 2.81 2.736 3.031 3.185 3.218 3.249 3.168 2.345 3.244 0.755 1.01 2.052 2.089
2.938 3.118 2.786 3.526 3.483 3.37 2.505 3.671 1.868 2.707 0.879 0.983 1.98 2.097
3.381 2.582 3.576 2.634 3.446 3.007 3.58 3.772 3.005 3.644 0.866 0.955 1.879 1.971
1.02 2.671 1.388 2.919 2.14 2.981 2.487 3.7 2.721 4.197 1.105 1.011 1.958 2.141
1.566 2.7 3.28 2.341 2.295 2.545 2.632 2.951 2.459 3.851 0.94 1.008 2.009 1.975
2.331 3.777 1.252 3.899 3.087 3.558 2.823 4.307 3.037 4.161 0.839 1.153 1.898 2.167
2.397 2.237 1.879 1.908 1.053 2.264 2.474 2.342 2.935 2.793 1.019 1.045 2.104 2.031
2.862 3.248 3.751 3.345 3.724 3.396 4.023 3.156 2.376 2.817 1.048 0.942 1.919 1.817
2.578 2.678 2.463 2.77 2.367 2.187 4.068 2.9 3.654 2.79 0.997 0.942 1.933 2.113
2.423 1.869 2.56 2.52 2.161 2.506 3.4 2.974 2.653 3.077 1.099 1.129 2.104 2.046
1.206 3.107 1.102 2.713 2.251 3.217 1.44 3.162 2.643 2.912 1.084 0.871 1.966 1.917
1.737 2.131 1.981 2.498 1.434 1.877 2.863 1.629 0.635 2.041 0.93 0.976 1.858 2.042
2.7 3.227 2.253 3.451 2.578 3.703 3.075 3.71 3.168 3.577 1.02 1.056 2.031 1.936
2.949 1.681 2.97 2.065 2.843 2.906 2.399 2.664 2.63 3.578 0.911 1.026 1.934 2
2.211 2.334 2.015 2.009 2.218 1.629 2.865 2.001 1.126 2.188 1.161 0.772 1.974 1.92
2.416 1.688 3.348 1.823 2.039 2.345 3.117 2.214 2.713 1.912 0.931 1.056 1.894 2.051
3.484 3.339 3.319 3.387 3.709 2.959 3.634 2.828 4.524 3.358 1.092 0.966 2.02 1.985
2.183 2.184 2.163 2.062 2.235 2.436 1.84 2.128 1.247 2.599 0.985 1.164 1.777 1.996
2.206 2.331 1.705 2.317 1.254 1.86 1.356 2.282 2.787 2.861 0.923 1.157 1.813 1.985
1.867 3.443 1.589 3.066 1.753 3.254 1.61 3.801 3.439 3.842 0.996 1.208 2.138 2.132
2.71 3.674 2.952 3.609 2.74 3.315 1.506 2.869 3.163 3.011 1.055 0.937 2.066 2.001
1.257 2.167 1.514 2.783 1.732 2.002 0.919 1.252 2.758 1.609 0.978 0.988 1.987 2.027
2.855 2.783 1.069 3.294 1.397 2.544 2.054 2.183 1.224 1.58 1.021 0.837 2.026 2.075
3.545 3.006 3.176 3.54 2.253 3.058 1.278 3.704 1.927 2.966 0.976 0.982 1.968 2.103
2.078 3.255 3.426 3.056 2.875 2.621 3.842 3.516 3.083 3.854 1.054 0.924 2.148 1.952
3.31 2.821 2.47 3.136 3.371 2.677 4.881 1.979 3.158 3.212 1.228 0.801 1.993 1.926
3.834 3.853 3.332 3.806 3.311 3.567 2.388 3.786 2.549 3.186 1.077 0.936 1.975 2.102
2.124 2.628 1.266 2.642 2.213 2.98 1.27 2.466 0.652 2.955 0.978 0.937 2.114 2.009
2.637 3.391 2.589 3.272 3.299 3.123 3.228 3.371 1.823 3.207 0.945 0.957 2.108 2.159
0.575 2.408 1.509 2.65 2.157 2.288 2.101 2.394 1.654 2.105 1.129 1.077 1.99 1.93
1.083 1.754 1.293 2.178 0.985 2.468 1.708 2.519 2.368 2.36 1.06 1.023 2.07 1.923
0.531 2.336 0.322 3.331 1.46 3.787 1.604 3.671 3.185 2.868 1.032 1.026 1.985 1.985
3.304 4.096 2.907 4.545 2.739 4.773 2.202 4.439 2.556 3.915 0.944 0.996 2.038 1.958
2.618 3.262 2.677 3.64 2.788 3.808 2.894 3.301 2.771 2.936 1.186 1.039 1.93 2.15
3.414 4.094 3.916 4.141 4.352 3.99 3.412 4.125 3.03 3.078 1.034 1.071 2.027 1.866
1.696 2.887 1.56 3.527 2.224 3.567 4.245 2.95 3.264 2.75 0.947 1.199 1.939 1.886
5.126 3.346 4.528 3.932 4.192 4.1 3.628 3.932 2.595 3.754 0.892 1.032 1.983 2.029
2.282 4.032 2.49 3.36 1.188 2.531 1.621 2.539 2.005 2.958 1.102 1.025 1.954 2.063
2.505 2.363 3.223 1.966 2.793 2.726 3.304 2.595 2.46 2.577 1.055 0.993 2.229 1.895
1.648 2.126 1.336 2.158 1.995 1.992 1.509 1.843 2.037 3.141 1.181 0.859 2.014 2.013
2.739 2.504 4.261 2.25 3.244 3.067 2.728 3.555 3.369 3.246 1.113 1.023 1.961 2.141
1.592 2.771 2.045 2.577 2.349 2.969 2.188 3.233 0.899 3.189 0.859 0.903 2.12 2.079
2.13 2.504 2.88 2.215 2.416 1.432 1.413 2.419 1.255 2.306 1.078 1.105 1.994 1.828
2.059 1.7 1.649 1.232 2.004 1.022 1.394 1.695 1.406 1.885 0.91 0.89 2.023 2.211
3.075 3.152 2.704 3.478 2.387 3.066 1.141 2.581 1.69 1.995 1.015 0.902 1.933 1.919
3.344 3.166 3.174 3.072 1.766 3.619 3.598 4.778 3.842 4.437 0.952 1.086 2.001 2.024
1.735 2.783 1.689 2.758 1.389 2.53 1.397 2.632 2.6 2.701 0.991 1.09 2.233 2.053
1.605 2.686 1.168 2.824 1.361 3.087 3.878 3.686 4.119 4.09 1.028 1.15 2.006 2.049
1.879 3.307 1.186 3.626 1.602 3.748 1.294 3.956 2.25 4.084 1.087 1.179 1.855 2.031
2.495 2.355 2.796 2.399 2.517 2.196 4.212 2.176 3.265 2.482 1.049 1.024 2.22 2.177
1.16 1.902 0.944 2.136 1.103 3.027 2.351 4.085 3.222 4.24 0.966 1.043 2.233 1.921
3.216 3.351 3.403 3.008 3.646 2.99 3.757 2.668 3.625 2.76 0.941 1.059 1.954 2.089
2.013 1.845 3.113 2.436 2.517 2.509 2.186 1.765 0.901 2.046 1.046 0.967 1.877 2.087
2.456 2.501 2.929 2.836 3.157 3.326 2.453 2.885 2.859 3.681 1.165 0.924 2.014 2.025
1.205 2.106 1.98 2.379 3.489 2.09 2.16 1.708 1.698 2.591 1.131 1.003 1.947 1.929
2.226 2.792 2.724 3.037 3.813 3.349 4.213 2.468 2.781 3.346 1.018 0.979 2.034 2.059
2.119 3 1.955 2.726 1.778 3.872 2.654 4.278 3.509 3.948 0.93 0.919 2.011 2.165
2.917 1.613 1.861 1.837 1.432 1.831 0.829 1.521 2.412 2.21 1.087 1.133 2.151 1.995
3.097 2.662 2.301 2.683 1.853 2.912 1.731 3.156 2.403 3.331 0.921 0.804 2.001 2.095
3.394 3.222 2.686 3.544 2.504 4.149 2.968 4.191 3.343 4.378 1.055 0.986 1.984 2.114
2.022 0.872 2.517 1.153 2.524 1.269 2.171 1.532 2.049 1.667 1.033 0.941 2.072 1.797
1.321 2.241 1.321 1.986 1.921 1.721 3.293 1.138 2.42 1.314 0.918 0.938 2.068 1.918
2.262 3.104 3.88 3.345 3.351 2.789 4.038 2.558 2.264 2.032 0.891 1.019 1.995 2.071
2.377 3.725 2.971 3.386 1.949 3.045 3.218 2.86 2.335 2.894 0.956 0.908 2.279 1.96
2.862 3.196 4.36 3.483 3.982 3.448 2.684 3.762 1.957 4.06 0.982 1.145 1.924 1.83
1.787 0.833 1.779 1.422 2.95 1.601 1.178 1.486 1.316 1.089 1.144 0.868 1.897 2.074
2.637 2.059 4.238 2.494 3.589 2.295 3.588 2.868 2.225 2.752 1.012 1.127 1.86 1.922
2.354 3.487 2.564 3.32 2.984 2.742 2.515 2.12 2.112 1.748 0.978 1.077 1.869 2.115
2.356 3.101 2.558 3.713 2.913 2.764 3.586 2.933 3.878 3.114 0.915 1.191 1.902 1.919
3.518 3.539 2.453 4.073 1.911 3.779 2.131 3.799 2.988 3.17 1.109 1.108 1.94 1.971
1.906 2.912 1.671 2.53 2.2 2.79 1.125 2.54 1.395 2.16 1.018 1.119 2.028 2.069
3.72 3.796 3.214 3.513 3.367 4.165 3.759 3.996 3.305 4.125 0.935 1.191 1.98 2.051
2.633 2.49 1.925 1.649 1.789 2.463 1.842 1.918 0.849 1.801 1.03 0.946 2.054 1.96
1.854 2.125 2.425 2.135 2.963 1.768 1.587 2.195 2.408 3.58 0.907 0.979 1.837 2.061
3.43 3.177 2.606 3.605 2.964 3.291 2.856 3.747 2.811 3.44 0.956 1.057 1.763 1.977
2.612 2.463 1.654 2.611 2.994 2.554 2.939 2.478 2.057 2.833 0.963 1.045 1.914 2.095
2.667 3.407 3.349 3.147 3.14 3.411 3.765 2.926 2.63 2.791 0.918 1.159 2.037 1.999
2.929 2.405 2.067 2.551 1.674 2.619 2.326 3.067 3.151 3.784 0.942 0.932 2.028 2.03
3.583 2.962 3.947 3.613 3.344 3.896 3.343 3.478 2.66 3.744 1.101 0.892 1.994 1.985
0.343 1.744 0.907 1.306 1.61 1.771 0.847 2.079 2.351 2.593 1.007 1.142 2.075 1.935
2.921 3.394 2.959 3.242 2.893 2.921 3.336 3.508 4.475 3.125 0.807 1.011 2.068 2.003
2.201 2.017 1.928 2.925 2.258 2.892 2.95 2.395 2.672 2.792 0.928 1.045 1.896 2.107
2.283 2.968 2.304 2.829 2.877 3.517 2.917 3.371 2.721 3.873 1.035 1.088 1.891 1.972
3.771 4.172 3.626 3.987 3.397 4.015 2.251 4.667 2.198 4.23 1.044 0.945 1.832 2.211
1.229 1.831 1.581 1.717 2.046 1.976 2.547 3.003 2.946 1.887 0.85 1.043 1.997 1.961
3.263 3.042 3.888 3.003 2.931 2.565 2.68 3.173 2.055 2.523 1.005 0.909 2.097 2.075
3.36 3.675 2.874 3.473 2.834 3.905 3.252 3.813 4.196 3.998 0.934 1.002 2.054 1.979
3.483 3.918 2.872 3.499 2.899 3.5 2.443 3.351 2.283 3.286 0.965 1.063 2.014 2.135
2.015 2.742 2.923 2.824 2.006 3.147 0.697 3.355 2.586 4.279 0.914 0.948 2.064 1.978
2.63 2.638 3.883 2.913 3.015 2.957 2.569 2.368 3.154 2.768 1.065 0.982 2.124 1.963
2.121 2.351 1.835 2.9 1.885 3.106 3.167 3.333 1.902 3.061 0.929 1.149 2.057 1.929
2.731 3.388 2.954 2.963 2.709 3.634 3.336 3.94 2.282 2.977 0.96 0.955 1.865 1.937
2.809 4.063 3.197 4.251 3.623 3.945 4.48 3.919 3.81 3.642 1.015 1.019 1.928 2.225
2.149 2.595 1.811 2.871 2.508 3.47 3.527 2.751 3.432 2.349 1.213 0.967 1.99 2.044
1.857 2.543 1.014 2.519 1.333 1.539 1.179 1.32 1.783 2.39 0.991 0.868 1.937 1.878
2.066 2.388 2.3 2.83 2.681 3.128 2.761 3.294 3.635 4.003 0.853 1.037 1.925 1.877
2.349 3.711 2.871 4.019 3.403 4.013 2.913 3.75 3.335 2.771 1.065 0.835 1.877 1.893
1.713 3.098 1.993 2.797 2.525 1.85 1.897 1.015 2.082 0.012 1.088 1.012 1.983 1.813
3.698 3.149 3.706 2.955 3.812 2.957 2.391 2.653 3.166 2.069 1.096 1.033 1.961 1.816
2.208 2.868 1.67 3.669 2.467 3.299 2.743 2.575 2.807 3.543 0.924 0.887 1.827 2.077
