"x1" "x2" "x3" "x4" "x5"
9.525 12.013 10.08 13.478 16.203
8.943 7.96 12.141 15.279 14.446
11.487 12.364 13.133 18.161 17.43
8.997 12.363 14.551 14.917 18.552
12.73 12.756 17.035 21.553 23.098
7.32 8.89 10.596 11.39 13.142
6.068 13.367 12.421 14.476 19.65
12.852 14.92 16.5 20.19 22.007
6.942 9.624 10.213 10.394 9.804
9.914 8.79 10.328 10.28 13.971
10.145 7.532 13.074 11.371 17.284
11.626 12.914 14.594 17.404 15.938
5.408 10.656 11.476 11.376 14.99
11.559 11.678 15.673 17.555 17.405
4.406 10.086 12.398 12.673 11.66
9.771 15.496 15.34 15.91 18.558
14.524 15.766 16.001 15.533 17.252
11.79 12.714 15.306 15.499 16.003
12.175 15.914 15.31 17.089 18.752
6.69 8.934 13.66 17.273 14.847
10.211 10.863 11.43 13.652 12.321
5.781 11.548 12.11 17.524 17.068
13.6 15.164 17.14 22.544 23.914
11.365 13.677 16.582 20.128 20.753
11.014 7.087 12.182 12.82 13.128
12.795 13.469 16.404 18.902 23.752
8.676 10.366 13.295 13.791 15.857
8.913 10.863 9.572 12.239 13.092
8.662 8.331 9.604 11.307 14.555
6.843 11.411 12.236 14.411 15.522
10.658 11.856 13.852 18.857 19.494
6.55 13.193 8.317 11.575 10.652
16.304 15.802 18.435 22.093 24.383
8.202 12.049 12.563 15.398 16.985
6.567 12.639 9.69 14.645 12.097
10.76 16.023 16.917 20.264 23.746
9.573 12.496 13.098 14.374 18.857
8.996 12.876 14.938 16.982 19.247
8.512 11.649 14.915 17.689 18.293
10.043 14.847 17.853 18.58 19.211
12.693 13.249 14.196 19.137 21.797
10.873 7.938 11.383 12.906 15.283
8.262 12.972 14.861 16.5 18.101
8.543 10.809 9.911 15.058 15.379
9.911 13.455 14.684 16.467 19.676
10.596 13.629 14.231 15.331 18.939
11.298 11.956 12.145 14.039 12.209
8.396 11.714 12.431 15.597 15.325
12.171 13.806 19.841 19.776 25.027
12.029 12.994 16.35 19.501 20.767
8.726 7.209 13.101 12.482 14.693
10.452 11.245 11.101 9.94 15.676
16.776 16.012 21.659 23.259 24.172
11.959 13.372 12.026 14.929 16.227
11.518 17.092 15.235 14.125 18.759
4.76 11.041 11.531 11.395 12.342
12.37 12.722 15.365 18.332 21.033
9.037 12.652 14.054 15.315 14.951
4.2 8.686 11.4 14.534 15.445
6.905 7.702 11.242 14.891 14.33
14.965 15.486 14.487 15.472 16.378
8.93 12.056 14.988 19.148 17.464
14.006 10.423 14.956 18.089 22.085
8.92 7.594 9.94 12.822 12.169
9.465 10.392 14.036 14.615 16.65
6.253 5.335 3.647 7.639 6.617
12.226 10.134 10.651 14.888 17.938
13.393 13.164 12.989 12.758 16.257
5.211 10.687 9.704 13.974 13.63
6.546 10.992 10.488 14.833 17.267
12.38 14.212 17.166 15.957 22.236
10.417 9.272 17.042 18.813 16.479
10.874 10.959 16.434 19.47 16.84
9.915 12.87 14.036 16.471 20.72
10.769 13.584 14.928 12.797 18.824
6.51 13.682 13.426 15.623 17.919
8.452 9.826 13.206 14.877 15.774
11.145 13 15.353 18.38 23.299
6.771 9.694 15.671 13.128 13.897
13.563 12.463 14.46 14.232 20.131
10.627 14.617 17.613 23.83 21.326
9.626 12.538 11.682 16.971 17.311
13.62 15.052 12.483 15.925 18.202
9.321 11.067 10.726 12.447 12.999
6.544 4.907 6.91 9.263 7.602
11.986 14.738 13.479 14.663 14.703
11.165 14.866 16.59 20.814 19.545
9.972 12.76 13.527 12.131 18.366
10.092 15.282 18.148 21.732 22.008
2.53 5.614 9.753 12.336 13.283
11.762 17.58 16.343 19.763 22.112
6.851 11.016 14.849 14.484 14.769
7.958 7.221 9.811 16.02 18.499
12.485 7.519 12.686 16.548 19.679
11.376 11.723 17.018 19.627 19.586
10.783 12.747 14.714 13.961 16.608
10.53 9.068 7.677 10.625 11.51
10.601 8.151 11.71 9.677 13.961
9.24 10.195 14.463 16.491 16.165
5.628 7.025 8.022 10.447 8.245
8.355 8.512 11.667 15.354 14.09
11.723 13.718 15.455 18.563 17.87
10.179 11.375 15.911 18.016 20.131
10.815 11.855 12.622 14.455 14.922
12.763 14.349 19.547 21.484 22.118
10.942 12.409 13.174 15.131 20.498
10.726 11.894 12.483 15.924 14.667
9.987 13.523 14.611 17.477 21.818
14.335 13.4 13.305 14.637 15.401
11.063 14.307 12.994 15.989 18.804
11.819 13.789 15.726 16.95 21.156
7.492 11.155 14.402 13.768 15.939
9.62 13.241 17.066 16.626 20.977
9.799 14.535 16.412 15.92 19.006
4.578 8.319 12.714 14.719 17.9
8.048 13.189 14.478 15.622 18.044
10.295 11.562 12.146 19.354 19.956
9.208 10.888 12.874 16.048 18.331
9.591 14.233 15.102 17.973 19.853
6.481 8.866 9.714 13.455 12.126
8.797 6.906 8.405 10.715 13.434
10.04 13.373 15.351 16.187 22.71
7.739 9.924 13.306 15.972 16.777
10.258 12.29 14.669 17.208 18.821
9.417 10.942 13.468 12.207 14.544
8.078 11.767 14.601 15.138 14.882
5.883 14.217 12.156 16.9 19.75
10.432 13.272 12.103 14.963 16.639
7.128 10.356 13.448 12.796 12.624
10.173 11.516 15.36 12.704 15.754
9.332 9.976 10.262 12.874 16.958
7.99 10.542 9.885 12.039 10.758
12.676 12.018 13.607 16.153 18.246
6.103 10.683 9.915 9.402 11.855
13.589 16.103 18.86 21.289 26.761
11.885 13.052 17.816 20.013 20.701
6.993 11.458 10.103 9.529 13.599
13.467 14.821 17.543 19.124 18.284
10.97 11.561 14.416 15.324 18.96
8.834 11.679 9.47 14.61 13.38
6.99 9.749 8.511 14.337 12.609
9.102 12.884 14.782 15.807 19.916
7.159 11.649 12.646 12.269 15.877
8.73 15.15 19.294 19.124 22.568
12.008 16.765 17.969 20.187 21.228
8.893 8.216 9.664 13.477 15.123
6.913 10.004 15.031 12.949 17.484
6.913 11.904 12.839 15.017 16.88
12.681 11.276 16.098 13.787 18.55
13.16 14.269 14.389 19.177 21.479
7.219 10.662 9.402 11.189 16.03
10.446 14.475 17.2 19.229 19.219
7.858 11.392 11.196 14.038 14.117
7.079 11.929 11.857 12.049 14.905
7.367 8.468 12.95 14.548 14.888
7.212 14.6 12.76 19.11 17.207
5.401 10.255 13.824 15.323 15.234
12.547 16.714 17.345 21.652 25.831
10.179 10.579 12.484 14.992 14.677
10.551 10.757 10.665 13.391 15.648
12.005 13.019 11.707 18.501 20.295
6.077 6.024 8.481 8.299 8.794
10.023 11 12.133 14.243 19.228
11.436 12.386 17.019 17.361 21.558
5.553 8.453 10.063 12.553 12.068
12.522 12.361 12.345 16.437 15.294
16.909 17.459 20.144 20.875 26.348
10.905 13.617 17.478 22.3 24.31
9.121 9.721 14.328 17.144 15.431
15.79 18.236 21.073 21.52 22.82
12.965 16.409 20.35 18.795 19.663
13.654 15.759 20.21 24.37 28.236
10.756 14.264 14.967 13.691 14.254
11.638 13.326 17.313 19.891 20.378
7.061 9.841 9.195 12.002 12.809
13.01 11.525 12.689 16.243 19.301
14.559 16.435 19.661 24.064 22.673
14.154 12.89 17.471 20.121 22.79
12.834 7.873 14.686 16.5 19.48
10.805 10.513 14.06 13.17 17.707
9.921 11.737 12.556 14.741 21.358
7.803 8.836 13.814 16.341 18.242
10.169 15.492 18.135 22.237 24.974
10.455 15.146 14.248 13.776 17.28
8.095 9.989 12.869 11.642 13.111
11.762 16.264 20.304 21.35 24.621
9.68 11.991 13.776 15.985 18.63
12.003 9.98 19.117 20.432 20.027
13.838 12.241 18.514 18.545 20.431
11.658 13.831 12.476 13.427 12.784
11.391 12.084 12.314 11.51 16.332
12.119 14.374 10.198 13.67 15.974
8.167 8.455 13.677 12.471 15.367
11.567 11.308 16.502 18.876 19.923
10.459 9.382 11.271 11.442 15.367
7.411 9.687 15.109 16.301 15.714
10.53 15.531 16.195 16.103 22.669
16.477 14.338 20.744 20.122 21.342
6.459 10.891 11.177 11.845 16.969
10.422 14.607 16.246 18.609 17.808
10.137 9.887 10.35 10.522 16.036
8.901 10.898 15.78 14.593 15.856
11.906 12.87 17.862 17.592 18.048
9.761 14.824 19.689 16.825 21.83
7.1 6.355 6.821 8.97 10.055
7.036 11.386 13.583 12.425 13.419
11.905 13.397 13.79 13.945 15.893
11.599 10.302 10.319 11.738 15.061
7.908 11.92 10.61 12.863 12.922
7.985 11.756 12.035 16.91 17.581
13.137 16.692 18.641 18.25 23.453
13.867 17.799 21.611 21.225 22.726
12.711 12.815 14.553 20.624 21.321
10.008 8.36 12.671 12.511 13.329
9.584 11.494 11.354 13.628 14.403
13.162 13.241 17.624 19.095 21.055
8.164 8.384 11.406 10.588 10.684
7.281 11.766 14.596 13.226 19.228
7.929 8.018 12.054 12.719 17.16
8.448 8.881 12.833 10.855 15.734
12.198 10.8 10.945 18.16 13.741
4.961 9.547 10.652 11.72 16.45
13.213 14.876 13.798 18.093 20.679
7.585 8.395 11.638 13.094 12.46
3.787 8.989 9.635 12.1 13.01
11.345 13.05 10.784 14.884 20.181
11.932 14.181 18.915 18.666 21.346
9.383 10.806 8.615 7.527 12.634
13.805 16.708 18.643 21.993 25.435
8.187 11.864 13.149 14.402 12.506
13.504 13.98 16.627 14.642 18.898
9.58 10.835 13.741 16.437 20.819
11.303 13.632 17.605 17.308 20.292
7.286 11.829 16.488 16.597 19.362
9.248 11.246 7.782 12.115 14.854
7.022 13.945 13.195 17.958 18.382
7.651 7.459 9.58 10.814 9.498
10.69 11.196 15.318 13.667 17.331
6.661 8.012 9.317 10.283 13.439
8.669 9.608 8.288 12.617 13.195
9.983 10.687 13.655 14.079 17
7.085 12.626 15.03 14.391 17.584
7.492 9.174 11.614 11.307 15.217
12.331 17.078 14.28 16.192 21.423
8.047 9.958 16.427 13.563 16.061
8.91 11.447 14.711 14.392 20.115
3.606 5.589 8.481 12.969 10.766
8.733 10.589 11.201 12.274 13.918
7.441 7.534 9.785 11.06 12.781
9.996 10.966 12.353 11.956 17.386
10.713 12.519 15.548 15.102 14.746
6.002 12.103 14.329 11.72 16.055
9.11 10.159 13.843 14.559 16.12
9.285 11.386 15.535 15.411 17.054
8.288 8.866 9.601 12.816 12.165
5.866 10.431 10.917 13.939 15.717
11.172 12.584 17.878 18.365 19.919
5.209 8.027 11.785 11.1 9.223
10.464 14.45 13.388 13.951 18.303
13.328 13.627 13.663 16.61 19.595
10.36 14.824 13.841 17.811 24.119
10.099 12.162 13.732 13.951 15.446
8.121 13.372 15.011 15.04 15.315
9.949 14.278 12.411 16.968 16.674
8.694 11.498 11.719 14.827 18.839
14.1 13.354 13.492 13.723 15.952
10.21 11.192 9.531 16.843 15.63
8.47 13.264 8.303 12.274 12.487
11.388 13.207 17.735 17.373 18.622
11.555 17.655 16.219 20.008 20.529
11.973 9.744 8.286 11.546 19.047
2.372 2.632 3.323 4.569 6.847
11.973 15.15 14.194 17.827 19.799
4.56 7.543 10.654 13.012 15.066
9.829 12.515 15.757 18.609 19.289
10.138 15.427 16.45 18.954 21.554
8.108 9.063 13.915 12.783 14.484
11.608 15.808 16.005 16.269 17.606
10.014 9.957 14.16 14.305 17.975
8.747 14.155 13.436 16.368 14.454
9.732 13.699 14.545 14.971 17.163
10.415 9.72 13.189 14.438 17.887
12.601 14.271 15.836 17.387 16.141
4.96 6.065 5.437 7.389 9.224
