"x1" "x2" "x3" "x4" "x5" "c"
"73" 0.12 -1.68 -3.36 -6.27 -9.18 1
"74" -0.81 -1.01 -1.59 -3.08 -4.02 1
"75" -0.49 -2.69 -5.53 -8.18 -14.36 1
"76" 0.63 -1.21 -2.94 -4.92 -8.1 1
"77" -1.82 -4.95 -4.24 -6.9 -9.64 1
"78" 0.47 -0.31 -1.27 -1.11 -1.07 1
"79" 0.07 2.26 4.35 6.77 9.98 1
"80" 0.65 -0.8 -0.73 -0.51 -1.34 1
"81" -0.51 -0.43 0.45 0.5 1.29 1
"82" -1.21 -3.76 -5.69 -8.24 -14.55 1
"83" 0.59 0.38 -2.37 -2.68 -5.3 1
"84" 0.36 -2.58 -5.93 -8.85 -13.75 1
"85" -0.95 -3.12 -6.31 -8.16 -12.88 1
"86" -0.43 -1.2 -3.32 -3.94 -6.28 1
"87" 1.15 2.02 2.25 2.53 2.62 1
"88" 0.8 -0.82 -2.1 -2.75 -5.22 1
"89" -0.71 -2.66 -3.29 -5.46 -9.19 1
"90" -0.93 -1.13 -0.73 -1.15 -2.37 1
"91" 1.65 2.42 2.36 1.71 3.21 1
"92" -1.02 -2.07 -3.31 -6.16 -8.99 1
"93" 1.02 0.04 -0.8 -1.06 -3.41 1
"94" 0.27 -2.11 -3.92 -5.67 -11.65 1
"95" -1.04 -2.14 -3.53 -5.36 -8.2 1
"96" 1.25 -0.04 -2.05 -3.14 -6.59 1
"97" -1.39 -2.79 -5.06 -6.64 -10.17 1
"98" 0.33 -0.65 -2.22 -2.57 -6 1
"99" 1.58 -0.24 -1.11 0.55 -2.14 1
"100" 0.27 -1.66 -3.78 -5.84 -9.72 1
"101" -1.05 -1.05 -0.23 -1.22 -1.2 1
"102" -0.79 -0.96 -0.76 -0.55 -1.01 1
"103" 3 1.49 0.63 -0.75 -3.02 1
"104" 0.46 -1.41 -2.34 -4.17 -5.83 1
"105" -0.97 -2.92 -5.47 -6.09 -10.94 1
"106" -0.91 -2.95 -5.54 -8.08 -12.99 1
"107" 0.87 -0.04 -2.28 -1.42 -4.26 1
"108" -1.22 -3.61 -5.56 -9.47 -12.45 1
"109" 0 1.24 0.21 2.32 4.06 1
"110" -0.33 -1.14 -2.67 -4.43 -7.92 1
"111" 1.4 -1.08 -0.68 -1.76 -2.03 1
"112" -0.05 0.5 0.31 1.18 1.88 1
"113" -0.08 -2.86 -5.75 -8.94 -13.77 1
"114" 0.18 -0.01 -2.34 -1.95 -3.95 1
"115" -0.17 -0.96 -1.95 -3.67 -5.37 1
"116" -0.29 -0.68 -0.34 0.08 0.08 1
"117" -0.02 -1.65 -1.59 -1.6 -3.32 1
"118" 0.69 -1.11 -3.02 -5.57 -8.75 1
"119" 2.42 -0.18 -0.02 -0.65 -2.81 1
"120" 2.32 -0.17 -0.82 -2.63 -6.36 1
"121" -0.52 0.56 -0.78 -0.5 -0.14 1
"122" 0.95 -0.62 -3.72 -5.54 -9.23 1
"123" 0.37 -2.43 -4.04 -7.2 -10.95 1
"124" 0.04 -0.36 -0.87 -1.74 -3.12 1
"125" 0.7 0.83 0.74 0.4 0.89 1
"126" -0.75 -1.44 -2.19 -2.11 -3.13 1
"127" -0.02 -0.87 -2.42 -3.75 -6.88 1
"128" -1.26 -2.09 -2.32 -4.57 -6.04 1
"129" 0.41 -0.87 -2.1 -3.02 -6.5 1
"130" -0.34 -0.48 -1 -1.69 -2.2 1
"131" 0.36 1.82 0.1 0.13 0.14 1
"132" -0.07 -3.18 -4.54 -5.83 -9.6 1
"133" -0.59 -2.73 -4.65 -6.81 -10.76 1
"134" 1.58 -0.18 -0.79 -1.51 -2.98 1
"135" 1.77 1.32 0.44 2.15 0.19 1
"136" 1.45 0.35 0.45 0.21 -1.46 1
"137" 0.06 0.06 -0.51 -2.09 -2.41 1
"138" -1.13 -2.46 -3.46 -5.85 -8.9 1
"139" 0.82 1.86 2.53 2.51 4.06 1
"140" 0.69 -1.6 -3.89 -4.57 -8.56 1
"141" 0.43 -0.2 -1 -1 -1.07 1
"142" 0.41 -1.28 -3.11 -4.39 -9.76 1
"143" -1.34 -2.08 -2.86 -2.77 -4.24 1
"144" 2.21 2.65 2.42 1.9 1.43 1
"145" 1.7 -0.41 -1.18 -1.05 -2.5 1
"146" 0.06 -1.96 -2.68 -4.2 -6.32 1
"147" -0.1 -0.17 0.24 -1.05 -0.92 1
"148" -0.41 -1.79 -5.33 -7 -11.52 1
"149" 0.61 -1.63 -3.57 -4.2 -5.73 1
"150" -0.54 -2.77 -5.64 -7.15 -12.9 1
"151" -0.94 -3.57 -7.07 -9.85 -14.72 1
"152" -0.44 -0.84 -2.65 -2.68 -3.74 1
"153" 1.51 2.05 0.97 1.96 0.04 1
"154" 0.14 -1.62 -4.05 -6.57 -10.55 1
"155" 0.31 0.51 0.05 -0.04 -0.71 1
"156" -1.37 -3.44 -6.18 -7.69 -12.32 1
"157" -0.22 -2.75 -5.32 -6.14 -10.12 1
"158" -0.43 -1.97 -5.66 -6.71 -12.39 1
"159" -0.55 -1.86 -2.16 -4.56 -4.62 1
"160" 1.29 0.78 1.01 0.13 -1.19 1
"161" -0.09 -2.01 -2.91 -4.94 -8.08 1
"162" 1.04 0.97 1.53 1.08 2.32 1
"163" 0.52 -0.98 -1.44 -3.95 -7.35 1
"164" -3.55 -5.09 -5.95 -7.56 -10.22 1
"165" -0.93 -5.15 -9.86 -13.56 -22.71 1
"166" -1.16 -4.42 -5.32 -8.69 -11.01 1
"167" -0.45 -2.31 -3.53 -6.23 -11.08 1
"168" 0.44 1.21 -0.77 -0.57 -1.98 1
"169" -0.17 -1.02 -2.07 -4.16 -5.62 1
"170" -1.02 -1.46 -3.29 -3.04 -5.87 1
"171" -0.57 -1.14 -1.09 -3.02 -3.9 1
"172" -1.56 -0.33 -1.75 -2 -2.6 1
"173" 0.38 -1.88 -2.42 -4.62 -7.47 1
"174" -0.33 -3.35 -4.95 -8.19 -11.84 1
"175" -1.47 -2.56 -5.76 -6.75 -11.14 1
"176" 0.25 -2.99 -4.46 -6.64 -10.42 1
"177" -0.14 -1.63 -1.78 -1.53 -3.62 1
"178" 1.77 0.49 1.19 -0.06 -1.14 1
"179" 0.87 1.17 0.47 1.58 0.68 1
"180" -0.68 -1.4 -3.11 -5.54 -8.69 1
"181" -0.12 -2.88 -4.28 -6.99 -10.42 1
"182" 0.59 0.8 1.58 1.72 2.27 1
"183" 0.09 0.34 -0.85 -1.06 -1.99 1
"184" 1.51 1.13 0.7 0.66 1.01 1
"185" 2.19 3.63 4.78 5.83 8.49 1
"186" -0.14 -1.5 -3.62 -3.98 -6.71 1
"187" 0.65 -1.55 -3.08 -4.93 -8.54 1
"188" 0.26 1.21 0.52 -0.05 0.43 1
"189" 1.05 -0.55 -2.53 -2.47 -5.77 1
"190" 0.3 -1.88 -3.32 -6 -9.17 1
"191" 0.69 0.31 1.67 1.5 0.64 1
"192" -1.36 -2.48 -2.66 -3.13 -4.95 1
"193" 1.34 0.58 0.69 -0.04 0.82 1
"194" -0.69 -1.91 -4.16 -6.49 -9.65 1
"195" 0.41 0.46 0.26 -0.63 -1.74 1
"196" 0.3 -2.47 -3.01 -4.37 -7.16 1
"197" 0.02 -1.2 -2.2 -2.54 -3.53 1
"198" 0.46 1.02 3.66 3.47 5.95 1
"199" 0.18 -1.44 -3.51 -5.37 -8.92 1
"200" 1.64 3.79 4.95 7.55 11.1 1
"201" 5 5.65 5.87 6.04 6.87 2
"202" 5.35 6.4 7.93 8.8 10.85 2
"203" 5.83 7.99 9.48 11.45 15.69 2
"204" 2.64 3.31 2.22 3 2.24 2
"205" 4.12 8.64 11.09 13.65 19.01 2
"206" 4.01 4.68 5.5 5.48 5.86 2
"207" 8.51 11.3 13.03 16.85 21.37 2
"208" 5.8 8.21 8.95 10.18 13.34 2
"209" 4.78 6.67 7.72 8.43 11.54 2
"210" 5.59 6.43 8.41 9.8 13.46 2
"211" 5.23 7.8 8.72 11.26 14.25 2
"212" 3.11 4.72 6.56 8.15 10.43 2
"213" 4.2 4.97 5.26 5.46 6.04 2
"214" 7.34 9.11 10.67 13.15 16.74 2
"215" 3.72 3.13 2.89 2.91 3.01 2
"216" 5.42 6.75 8.69 10.7 14.3 2
"217" 4.74 5.35 4.95 4.82 5.25 2
"218" 3.74 5.12 5.14 5.59 7.38 2
"219" 2.87 3.87 3.26 3.07 4.03 2
"220" 5.48 5.87 6.51 6.57 9.66 2
"221" 5.48 8.19 9.91 10.27 14.82 2
"222" 6.14 8.07 10.37 12.15 15.3 2
"223" 2.69 3.7 2.83 3.56 4.64 2
"224" 4.68 5.52 6.23 6.45 7.83 2
"225" 5.76 6.79 5.98 7.29 7.54 2
"226" 1.84 2.68 3.8 4.04 5.94 2
"227" 4.63 5.38 6.68 7.03 8.51 2
"228" 5.62 8.36 9.78 10.74 13.66 2
"229" 6.93 6.34 8.25 6.67 6.2 2
"230" 4.71 7.27 8.97 12.04 13.79 2
"231" 4.87 5.78 5.62 6.61 7.76 2
"232" 5.11 6.55 7.83 9.7 9.79 2
"233" 4.1 4.57 5.34 5.93 5.16 2
"234" 5.17 5.79 6.6 6.79 8.54 2
"235" 4.4 7.2 9.52 11.85 16.14 2
"236" 6.37 7.67 8.84 9.26 11.57 2
"237" 6.35 8.2 10.74 10.93 15.05 2
"238" 5.77 5.58 6.3 7.83 7.81 2
"239" 4.29 4.14 5.38 5.62 7.27 2
"240" 4.83 4.64 5.16 5.03 5.83 2
"241" 6.25 6.24 5.83 6.86 8.42 2
"242" 3.46 4.16 5.61 5.91 9.44 2
"243" 3.9 5.41 6.69 7.83 11.53 2
"244" 5.97 7.75 8.27 12.7 17.53 2
"245" 5.89 6.97 8.78 11.27 13.16 2
"246" 6.78 7.27 8.58 8.75 12.36 2
"247" 5.83 4.31 4.64 4.51 3.15 2
"248" 1.67 -0.99 -2.02 -3.4 -5.53 2
"249" 5.2 6.32 5.45 6.44 6.76 2
"250" 8.96 10.21 11.67 12.65 15.14 2
"251" 3.98 4.5 4.87 4.48 5 2
"252" 5.65 6.24 7.94 9.82 12.52 2
"253" 4.74 5.6 5.8 5.65 6.27 2
"254" 4.12 6.51 7.59 8.64 12.75 2
"255" 5.95 8.14 9.82 10.86 14.15 2
"256" 6.39 7.06 8.11 9.34 10.05 2
"257" 5.64 8.08 8.55 10 11.85 2
"258" 6.95 5.01 5.41 4.3 3.69 2
"259" 4.62 4.64 5.55 5.45 8.26 2
"260" 1.32 2.94 4.9 7.48 10.73 2
"261" 3.46 5.71 7.6 10.21 13.49 2
"262" 5.16 5.85 5.84 6.76 6.85 2
"263" 3.64 4.77 5.14 5.38 5.86 2
"264" 5.75 5.37 6.15 6.77 7.05 2
"265" 7.14 9.37 11.65 13.16 17.59 2
"266" 5.3 5.77 7.38 6.93 9.42 2
"267" 3.71 3.79 3.06 2.73 3.41 2
"268" 4.84 5.5 5.86 7.29 7.8 2
"269" 4.06 4.26 6.04 7.6 8.19 2
"270" 6.03 6.6 7.59 6.64 7.42 2
"271" 6 7.31 9.36 12.44 16.46 2
"272" 5.65 8.19 10.09 14.13 18 2
"273" 5 7.89 9.32 11.18 13.95 2
"274" 6.61 7.29 7.01 9.62 12.17 2
"275" 4.62 5.98 6.74 8.03 9.68 2
"276" 6.01 7.26 8.2 11.23 15.01 2
"277" 6.44 7.18 8.09 9.15 12.39 2
"278" 3.53 4.03 4.39 4.74 5.34 2
"279" 6.74 7.01 8.82 9.69 12.39 2
"280" 7.81 11.41 13.46 15.6 19.81 2
"281" 6.6 8.24 10.13 12.18 16.93 2
"282" 4.53 4.78 5.86 5.79 5.9 2
"283" 3.06 4.09 6.34 5.84 7.55 2
"284" 3.83 5.43 4.88 5.48 6.14 2
"285" 4.91 5.72 7.41 8.43 9.72 2
"286" 4.3 4.13 2.63 2.04 0.48 2
"287" 4.7 4.32 4.28 2.54 1.2 2
"288" 6.65 7.18 8.8 10.4 12.37 2
"289" 2.06 1.71 0.75 1.2 1.57 2
"290" 2.7 3.82 4.68 6.62 9.79 2
"291" 3.02 5.86 6.97 7.64 11.02 2
"292" 4.27 5.52 4.53 4.98 4.58 2
"293" 5.04 7.13 6.33 8.32 9.72 2
"294" 6.77 7.69 7.26 9.32 11.5 2
"295" 3.16 3.52 4.55 3.74 3.81 2
"296" 4.93 6.53 7.89 9.01 10.24 2
"297" 2.5 3.18 5.02 6.55 8.43 2
"298" 4.65 5.49 5.61 8.16 10.36 2
"299" 7.74 9.04 9.55 9.52 10.23 2
"300" 8.73 10.7 12.46 14.86 17.87 2
"301" 7.34 7.38 9.02 10.35 12.56 2
"302" 4.08 4.57 6.26 6.05 8.25 2
"303" 1.06 2.57 3.21 2.42 2.67 2
"304" 2.92 3.69 5.41 6.02 7.87 2
"305" 4.77 5.78 6.1 6.86 8.02 2
"306" 3.65 7 7.07 9.75 12.33 2
"307" 4.51 5.22 6.16 6.2 9.88 2
"308" 6.68 6.36 8.11 9.89 11.85 2
"309" 5.65 5.6 6.45 6.04 5.29 2
"310" 5.47 5.82 5.88 5.21 5.19 2
"311" 7.39 7.84 10 11.13 13.19 2
"312" 6.39 7.34 9.52 10.43 14.59 2
"313" 4.68 6.36 8.21 9.55 14.05 2
"314" 2.65 2.31 2.42 0.66 -0.48 2
"315" 5.51 6.32 5.54 6.07 7.36 2
"316" 6.15 8.21 9.84 10.8 14.45 2
"317" 3.89 5.21 5.81 5.22 6.44 2
"318" 6.04 7.51 8.38 9.82 13.48 2
"319" 4.9 3.3 2.07 1.98 0.26 2
"320" 4.52 6.62 7.21 9.64 12.04 2
"321" 4.83 6.85 6.78 7.36 8.03 2
"322" 4.84 5.53 6.48 7.22 10.64 2
"323" 5.07 6.09 6.04 5.79 7.26 2
"324" 5.17 4.63 3.49 2.61 3.88 2
"325" 6.37 8.27 9.72 11.03 14.55 2
"326" 5.06 4.71 5.21 6.24 7.23 2
"327" 4.5 5.96 7.43 9.34 12.99 2
"328" 6.04 7.78 9.29 10.56 14.06 2
"329" 2.75 3.64 4.57 4.61 6.2 2
"330" 6.05 6.65 7.61 6.86 8.1 2
"331" 6.03 6.48 8.21 8.75 11.08 2
"332" 5.63 6.72 8.29 10.61 14.03 2
"333" 4.18 5.3 5.73 7.37 8.57 2
"334" 4.36 3.5 5.49 4.59 6.39 2
"335" 2.3 3.01 4.02 5.02 6.46 2
"336" 2.46 2.41 2.64 1.94 1.96 2
"337" 5.34 5.86 6.63 6.65 7.71 2
"338" 5.19 6.15 6.63 7.12 8.78 2
"339" 4.25 4.41 4.44 4.05 4.32 2
"340" 4.14 3.18 3.41 5.78 6.21 2
"341" 3.74 3.78 5.65 6.7 9 2
"342" 7.14 7.94 9.75 9.94 14.21 2
"343" 8.1 8.44 10.76 11.84 13.83 2
"344" 6.15 7.97 10.22 11.91 15.95 2
"345" 6.97 7.33 6.92 9.16 9.38 2
"346" 4.69 6.41 6.15 6.11 8.75 2
"347" 2.33 3.28 4.76 7.02 8.85 2
"348" 5.55 8.25 9.88 11.21 13.44 2
"349" 3.78 4.4 4.79 5.72 7.5 2
"350" 4.6 6.96 8.87 11.11 14.4 2
"351" 2.39 3.38 3.12 5.01 5.85 2
"352" 4.45 6.87 8.73 8.62 10.7 2
"353" 5.37 5.61 6.24 6.61 8.05 2
"354" 5.49 6.28 7.1 7.77 9.27 2
"355" 6.04 7.26 8.84 9.4 11.9 2
"356" 6.34 6.25 6.5 8.81 9.05 2
"357" 2.4 2.51 2.1 0.98 0.41 2
"358" 7.02 7.23 8.87 9 10.56 2
"359" 3.12 3.66 5.87 7.06 8.19 2
"360" 5.02 5.69 7.38 8.48 10.1 2
"361" 4.07 4.05 3.72 3.19 3.87 2
"362" 4.62 5.69 7.2 6.63 8.34 2
"363" 3.55 4.95 6.22 8.34 11.69 2
"364" 5.15 6.47 6.95 8.96 11.11 2
"365" 4.82 5.37 6.98 6.66 9.4 2
"366" 5.99 6.94 7.04 8.78 10.21 2
"367" 5.19 6.37 7.88 6.46 7.99 2
"368" 3.05 4.91 7.27 8.22 12.44 2
"369" 2.56 3.63 4.5 6.04 7.24 2
"370" 7.99 7.98 7.61 9.73 10.74 2
"371" 4.12 5.5 6.6 7.42 9.69 2
"372" 6.16 8.18 9.29 10.39 13.72 2
"373" 3.7 3.52 3.66 4.26 3.6 2
"374" 3.7 6.14 6.71 8.14 11 2
"375" 5.71 7.18 8.33 9.06 12.12 2
"376" 5.42 5.48 6.83 8.48 9.96 2
"377" 8.53 10.88 12.61 15.1 19.99 2
"378" 7.28 8.87 10.08 11.4 13.56 2
"379" 5.59 6.3 8.62 8.08 11.58 2
"380" 4.35 7.17 9.44 10.78 13.27 2
"381" 4.92 6.71 8.2 9.26 11.24 2
"382" 8.43 7.73 10 9.69 11.74 2
"383" 5.37 5.26 6.04 6.73 6.87 2
"384" 3.49 5.2 6.03 6.85 11.29 2
"385" 5.68 6.2 7.79 8.03 8.56 2
"386" 6.25 7.3 8.39 9.21 12.75 2
"387" 5.31 6.52 8.74 10.78 14.98 2
"388" 5.96 7 7.42 8.93 10.87 2
"389" 5.9 6.73 7.59 9.61 11.31 2
"390" 4.1 4.92 7.39 7.63 11.08 2
"391" 3.02 4.35 5.37 6.94 10.18 2
"392" 4.27 5.52 6.84 8.72 10.69 2
"393" 4.84 6.54 7.47 8.98 13.52 2
"394" 7.18 8.34 9.59 10.55 14.31 2
"395" 4.39 6.73 10.5 14.74 22.33 2
"396" 5.48 5.63 7.61 8.52 9.7 2
"397" 4.61 6.22 7.45 8.3 12.29 2
"398" 5.25 4.45 4.85 4.46 3.69 2
"399" 2.86 5.05 5.18 6.04 7.76 2
"400" 4.17 5.86 7.45 8.01 10.74 2
"401" 6.05 7.46 7.85 9.19 9.47 2
"402" 4.8 4.71 4.59 4.91 5.67 2
"403" 4.42 4.31 4.94 4.32 4.06 2
"404" 8.64 9.78 11.05 12.8 14.81 2
"405" 5.88 5.87 6.59 6.38 7.22 2
"406" 4.19 5.82 6.47 7.47 9.67 2
"407" 5.57 6.56 6.37 7.15 7.5 2
"408" 5.47 6.72 6.38 8.57 9.07 2
"409" 5.92 7.13 7.85 9.24 10.78 2
"410" 6.6 7.28 9.27 10.52 12.96 2
"411" 7.79 10.14 12.25 12.94 17.09 2
"412" 5.68 6.21 8.26 9.4 11.4 2
"413" 7.17 8.47 9.39 10.55 14.3 2
"414" 6.01 5.75 9.17 9.71 11.71 2
"415" 2.35 3.14 2.89 2.42 4.21 2
"416" 5.06 6.03 5.57 5.63 5.02 2
"417" 5.84 7.57 9.15 10.48 14.29 2
"418" 2.31 3.17 3.67 3.42 4.97 2
"419" 3.26 4.81 7.37 7.99 11.03 2
"420" 6.04 7.17 7.35 6.8 5.98 2
"421" 3.71 3.87 4.69 5.08 5.75 2
"422" 7.67 10.5 14.71 17.43 23.73 2
"423" 4.62 3.71 5.37 5.09 5.84 2
"424" 3.09 5.66 6.07 7.14 10 2
"425" 4.61 5.24 6.03 6.9 7.56 2
"426" 5.03 5 5.82 5.73 8.23 2
"427" 2.6 3.41 6.81 8.5 11.79 2
"428" 4.3 6.15 7.33 9.87 11.41 2
"429" 4.01 5.26 6.8 9.07 11.81 2
"430" 5.97 8.44 10.06 11.44 14.64 2
"431" 3.54 5.21 5.27 7.09 7.98 2
"432" 5.7 5.79 6.61 6.04 7.14 2
"433" 4.35 5.43 7.61 9.76 14.69 2
"434" 3.35 4.48 4.37 5.17 6.69 2
"435" 5.73 7.32 8.98 9.66 12.36 2
"436" 2.91 4.59 5.28 6.86 8.81 2
"437" 4.84 5.92 6.62 5.39 6.5 2
"438" 8.77 8.44 9.39 9.53 11.61 2
"439" 5.56 5.78 7.95 7.48 10.79 2
"440" 3.56 4.08 4.66 5.82 6.89 2
"441" 5.67 7.38 12.09 14.31 20.46 2
"442" 4.56 5.14 5.38 6.17 8.19 2
"443" 3.19 3.62 6.7 7.38 10.45 2
"444" 4.93 6.16 7.85 10.01 12.45 2
"445" 5.1 6.63 7.1 8.12 9.96 2
"446" 5.28 4.83 6.6 7.57 8.64 2
"447" 4.34 6.04 7.8 8.71 11.9 2
"448" 3.38 2.93 2.76 2.03 2.16 2
"449" 6.64 6.99 7.6 7.99 9.54 2
"450" 3.88 5.52 6.08 7.56 8.56 2
"451" 4.17 3.61 2.57 1.22 -0.63 2
"452" 5.59 8.23 10.01 10.78 14.83 2
"453" 5.23 6.93 6.72 8.18 10.99 2
"454" 7.19 10.13 11.8 13.13 17.84 2
"455" 5.24 6.41 8.27 8.73 10.92 2
"456" 4.62 5.06 5.83 5.9 6.38 2
"457" 7.36 8.7 10.66 12.68 16.04 2
"458" 5.8 6.72 5.56 6.55 7.12 2
"459" 1.78 2.16 2.59 2.9 2.35 2
"460" 4.41 5.48 5.07 6.56 5.97 2
"461" 4.32 5.31 5.3 6.07 6.13 2
"462" 6.45 8.21 9.13 10.27 12.94 2
"463" 5.38 5.64 5.73 6.38 7.2 2
"464" 1.28 2.82 2.27 1.89 3.4 2
"465" 3.08 3.47 4.59 4.05 5.47 2
"466" 1.88 3.64 6.25 8.22 11.59 2
"467" 5.83 6.69 8.92 9.99 12.68 2
"468" 6.36 8.01 8.07 10.65 13.5 2
"469" 6.74 6.99 6.76 7.29 7.22 2
"470" 4.3 7.11 8.24 9.71 11.86 2
"471" 6.86 8.68 9.8 10.9 14.27 2
"472" 5.04 6.68 6.89 8.21 10.83 2
"473" 3.75 5.01 7.04 9.44 12.27 2
"474" 3.85 4.17 6.61 7.22 10.19 2
"475" 3.58 1.94 3.94 2.43 2 2
"476" 6.47 6.04 6.9 7.95 8.21 2
"477" 3.41 3.94 5.18 5.16 5.55 2
"478" 5.43 7.58 9.7 10.5 13.39 2
"479" 4.13 5.3 7.54 8.99 11.5 2
"480" 7.1 5.72 5.68 5.88 5.22 2
"481" 6.38 8.08 8.44 9.94 13.14 2
"482" 4.35 5.72 6.99 7.78 9.07 2
"483" 4.57 3.82 5.26 4.45 3.81 2
"484" 5.02 5.28 7.34 8.54 11.93 2
"485" 7.82 11 13.02 14.71 19.73 2
"486" 4.85 5.94 6.9 7.69 10.13 2
"487" 5.51 6.82 8.2 9.86 13.06 2
"488" 3.2 5.87 6.41 7.45 9.93 2
"489" 4.1 7.02 10.17 11.89 17.27 2
"490" 5.55 7.29 7.41 9.35 11.7 2
"491" 5.18 4.85 3.97 4.84 4.76 2
"492" 5.55 5.97 8.49 9.43 11.42 2
"493" 3.21 3.68 3.8 4.14 4.74 2
"494" 4.3 5.45 6.31 7.94 9.76 2
"495" 3.34 2.97 4.3 3.1 3.15 2
"496" 3.57 1.82 2.65 2.54 1.7 2
"497" 4.52 5.86 6.52 6.98 9.26 2
"498" 2.56 2.82 3.65 3.41 4.75 2
"499" 2.62 4.14 4.46 4.9 6.7 2
"500" 5.95 4.83 6.18 6.39 6.43 2
