Twin1 Twin2 Father Mother zyg
0.295 1.321 0.445 0.484 mz
0.893 1.81 0.332 -0.505 mz
-0.142 0.053 -0.495 NA mz
-0.248 0.25 -1.303 NA mz
-1.507 -1.485 -0.623 -0.196 mz
0.155 -0.278 NA NA mz
0.654 1.231 NA NA mz
-0.57 -1.241 NA NA mz
0.179 1.4 NA NA mz
0.42 1.099 0.618 0.388 mz
-0.189 -0.793 -1.257 0.616 mz
-0.378 NA NA NA mz
-1.081 0.626 NA NA mz
1.805 -0.096 NA 0.032 mz
-1.383 -1.156 NA NA mz
-0.855 -0.685 NA NA mz
-0.115 0.056 NA 0.93 mz
0.862 0.204 NA NA mz
0.237 0.336 0.188 -1.663 mz
NA -1.305 NA NA mz
0.224 1.572 -0.026 -0.121 mz
1.011 0.575 NA NA mz
-0.412 1.057 NA NA mz
1.153 0.232 0.853 -1.104 mz
1.811 NA NA NA mz
0.084 0.722 0.889 -1.272 mz
NA 0.394 NA NA mz
0.316 -1.17 NA NA mz
1.348 0.381 NA NA mz
-0.247 0.223 -0.84 -1.472 mz
1.503 0.836 NA -1.849 mz
-0.818 -0.281 -1.433 -1.823 mz
0.695 -0.556 -1.02 -2.536 mz
0.897 0.204 NA NA mz
0.565 -0.28 NA 0.681 mz
-1.547 -1.732 NA NA mz
0.536 0.294 -0.913 -1.592 mz
1.927 1.396 1.075 2.181 mz
-0.748 -1.37 NA NA mz
2.174 1.146 0.68 -0.649 mz
-0.41 0.136 -0.283 -0.894 mz
0.509 0.266 0.024 0.548 mz
0.783 0.317 -0.89 1.582 mz
-1.154 -0.84 NA 0.2 mz
1.606 2.23 NA NA mz
-0.941 -0.94 -1.372 0.54 mz
0.133 -0.129 NA NA mz
0.396 -0.183 -0.253 -0.06 mz
1.677 0.227 0.111 1.953 mz
0.076 NA NA NA mz
NA 0.294 NA NA mz
-0.352 0.446 0.224 -0.273 mz
-0.431 -0.872 0.512 0.685 mz
1.995 2.414 0.892 1.742 mz
-0.852 NA NA NA mz
1.246 0.815 0.334 1.303 mz
-1.427 -2.009 0.654 -0.207 mz
0.169 0.087 NA NA mz
1.175 -0.213 -0.094 0.488 mz
-0.233 -0.324 -0.989 0.087 mz
NA -0.463 NA NA mz
0.039 -0.051 1.049 1.352 mz
NA -0.888 NA NA mz
0.046 -0.35 0.865 1.464 mz
-1.081 -0.634 1.445 -0.953 mz
0.911 0.679 0.224 NA mz
NA 1.796 NA NA mz
-0.109 0.164 NA 0.39 mz
0.323 -0.588 -0.476 NA mz
-1.988 -0.347 1.268 0.299 mz
-1.73 0.143 -0.997 -1.464 mz
0.085 NA NA NA mz
0.152 0.757 0.139 0.488 mz
-0.338 0.959 NA 0.027 mz
0.165 0.849 0.991 -0.07 mz
0.66 -0.32 NA NA mz
1.553 0.177 0.175 0.667 mz
-0.104 -0.495 NA NA mz
0.706 1.191 NA NA mz
NA -0.156 NA NA mz
-1.718 -1.056 -2.637 0.25 mz
-2.4 -1.549 NA NA mz
0.359 0.318 0.638 NA mz
0.746 0.076 NA NA mz
0.585 0.919 NA NA mz
0.327 0.912 -0.379 0.485 mz
-0.043 -1.252 -2.613 -0.357 mz
-0.433 -0.204 -0.059 1.222 mz
-0.132 NA NA NA mz
NA -0.03 NA NA mz
-2.618 -1.709 1.307 -0.324 mz
-1.787 NA NA NA mz
0.978 0.121 1.437 0.386 mz
-0.991 -0.455 -1.149 -0.378 mz
NA -0.566 NA NA mz
0.545 1.642 0.78 -0.343 mz
-0.114 -0.265 NA NA mz
2.401 1.714 1.205 NA mz
0.636 1.295 0.089 -0.796 mz
1.483 0.628 NA 1.041 mz
0.407 -0.824 NA NA mz
0.994 -0.121 NA NA mz
-0.632 -0.345 -0.673 -0.786 mz
-0.094 1.29 -0.177 1.068 mz
0.281 0.247 -0.073 0.155 mz
-0.269 NA NA NA mz
1.481 0.544 0.529 -1.27 mz
-0.007 -1.29 NA NA mz
0.988 -1.2 NA NA mz
-0.468 NA NA NA mz
-0.181 -0.67 0.932 -0.325 mz
NA 0.539 NA NA mz
0.057 0.596 -0.682 -0.044 mz
0.141 -1.747 0.154 0.592 mz
-0.591 0.632 0.707 -0.534 mz
0.171 -0.923 1.003 0.468 mz
1.659 1.457 -0.124 0.763 mz
0.657 0.224 -1.207 -1.493 mz
0.071 0.176 1.115 -1.39 mz
-0.029 1.813 0.997 -0.15 mz
0.085 0.237 -0.509 -0.039 mz
-0.837 0.277 -1.759 -1.729 mz
-0.705 0.011 -1.284 -1.134 mz
2.033 NA NA NA mz
0.392 NA NA NA mz
0.667 0.653 NA 0.26 mz
-0.047 -1.582 -1.677 NA mz
-1.332 -0.048 -1.003 0.218 mz
-0.964 -1.063 NA NA mz
NA 0.203 NA NA mz
-1.99 -2.18 -0.057 -0.479 mz
0.443 -0.293 NA NA mz
NA -0.312 NA NA mz
-2.007 -0.016 -0.146 -2.108 mz
-0.073 -1.023 -1.921 -0.953 mz
0.773 1.174 1.032 0.687 mz
-0.436 0.654 NA NA mz
-0.962 -1.514 NA -0.572 mz
-0.179 0.697 0.055 -0.506 mz
-0.027 0.233 NA NA mz
0.648 1.239 1.114 -0.411 mz
-2.188 -1.187 -1.656 0.298 mz
0.226 -0.823 0.074 0.737 mz
0.429 -0.369 NA NA mz
-0.897 -1.58 -1.017 0.341 mz
0.543 -0.227 NA 0.949 mz
-0.414 -1.387 NA NA mz
-0.838 -1.181 -2.261 -1.352 mz
-0.364 -1.584 0.587 -0.531 mz
0.427 0.632 NA NA mz
-0.992 -0.503 0.472 -0.782 mz
-0.626 -0.231 NA NA mz
-1.072 0.423 NA NA mz
-0.938 -0.759 NA 0.234 mz
-1.073 NA NA NA mz
-1.727 -0.417 -0.17 -1.844 mz
0.432 0.112 NA -1.242 mz
-1.508 -0.372 1.127 -0.424 mz
0.192 0.272 -0.217 1.446 mz
-1.087 -0.19 -1.406 -0.088 mz
-1.406 NA NA NA mz
1.974 1.03 NA NA mz
0.157 1.086 0.179 -1.64 mz
-0.993 -0.939 NA NA mz
-1.251 -0.888 -0.998 0.197 mz
-1.163 -1.859 0.046 -0.547 mz
0.843 0.496 0.765 0.241 mz
-1.385 -0.822 -0.895 -0.335 mz
-1.069 -0.758 NA NA mz
-1.554 -1.324 NA NA mz
0.412 -0.381 0.369 -0.198 mz
0.858 0.559 0.418 -0.926 mz
0.216 -0.632 NA NA mz
-0.33 -0.586 NA NA mz
-1.137 -1.755 NA NA mz
NA 0.036 NA NA mz
-0.308 1.141 NA NA mz
-1.27 -1.096 0.312 0.764 mz
-0.948 -1.213 -0.47 -0.183 mz
0.022 0.857 -0.388 -0.285 mz
0.796 0.463 NA NA mz
0.012 0.306 NA 0.739 mz
-0.72 -0.999 -0.257 1.489 mz
-0.315 -0.076 0.166 0.904 mz
-1.431 -0.824 -0.619 -0.113 mz
-0.285 -0.56 NA NA mz
-0.274 0.683 0.22 -0.094 mz
-0.18 NA NA NA mz
0.011 -0.333 -0.195 0.84 mz
1.408 -0.341 1.824 1.784 mz
0.002 0.523 NA NA mz
-0.508 -0.301 -0.837 2.734 mz
0.886 0.186 -0.216 -0.865 mz
-1.269 -0.904 -2.088 0.584 mz
-0.536 0.03 -0.787 -0.556 mz
1.349 1.119 NA NA mz
0.496 -0.028 0.993 -0.502 mz
NA -0.575 NA NA mz
1.29 0.191 NA -0.682 mz
-0.305 NA NA NA mz
0.784 0.526 -0.715 NA mz
0.172 0.172 NA -0.801 mz
0.383 -0.79 NA NA mz
1.439 NA NA NA mz
-0.704 -0.808 NA -0.889 mz
NA -1.4 NA NA mz
1.061 1.108 -0.247 -1.488 mz
1.14 0.348 NA NA mz
2.135 0.829 NA NA mz
1.842 2.238 NA -1.004 mz
-2.593 -3.346 NA NA mz
-0.639 -0.125 NA NA mz
-0.154 -0.495 -0.931 -0.789 mz
0.354 0.079 0.182 -0.025 mz
0.304 0.134 NA NA mz
-0.132 -0.323 NA NA mz
-0.155 0.244 NA NA mz
-0.343 0.961 0.464 NA mz
-0.31 0.115 NA NA mz
0.835 -0.077 -0.423 0.969 mz
0.462 0.864 NA NA mz
1.301 0.809 1.203 -1.601 mz
-1.158 -0.357 NA NA mz
-0.497 -0.663 NA NA mz
0.493 -0.367 0.378 2.188 mz
0.879 0.564 0.273 -0.224 mz
0.16 -0.4 NA 0.188 mz
1.672 1.453 -0.133 0.174 mz
-2.073 -0.932 0.912 -0.476 mz
-0.623 -0.635 NA NA mz
1.893 1.785 NA NA mz
0.269 1.055 -0.424 1.264 mz
1.608 2.286 NA NA mz
0.171 -0.131 NA NA mz
0.33 -1.373 NA 2.774 mz
-2.751 -3.32 -0.989 -0.805 mz
-2.583 -1.624 1.218 -0.825 mz
1.033 0.217 0.755 0.561 mz
-0.964 -0.616 NA NA mz
-0.794 -1.193 0.218 1.032 mz
-0.892 -0.735 NA NA mz
0.117 1.018 0.43 1.009 mz
0.126 -0.087 1.087 NA mz
-0.562 -1.047 -1.693 0.065 mz
0.069 -0.53 NA -3.421 mz
0.335 0.829 NA 0.994 mz
-0.991 -1.885 -1.185 0.738 mz
-1.36 0.135 NA NA mz
0.854 0.865 0.227 0.843 mz
1.772 1.48 2.722 1.272 mz
-0.437 -0.19 NA NA mz
-0.424 0.476 NA NA mz
0.876 0.385 -0.682 0.844 mz
-0.127 -0.494 -0.515 -0.484 mz
1.149 0.857 -1.293 0.567 mz
-1.743 -1.458 -0.62 -1.229 mz
-0.361 -0.106 0.295 2.314 mz
-0.907 0.211 NA NA mz
0.669 -0.407 0.848 -0.946 mz
-1.565 -1.434 NA NA mz
-0.463 -1.584 NA NA mz
0.333 0.906 NA NA mz
-0.163 1.075 -1.557 -0.602 mz
-1.727 -2.055 -0.458 1.318 mz
0.937 0.887 -0.612 NA mz
NA 0.173 NA NA mz
0.399 0.706 0.759 NA mz
-1.966 -1.873 NA NA mz
-0.592 -0.054 -2.105 NA mz
0.676 -0.553 -0.432 -0.794 mz
-1.001 -1.393 NA NA mz
-1.75 -1.332 NA NA mz
-0.825 0.649 0.65 0.701 mz
0.705 NA NA NA mz
-1.311 -1.19 0.041 -0.219 mz
0.763 0.561 1.914 1.68 mz
-1.703 0.252 NA NA mz
-0.45 -0.353 0.238 0.367 mz
-1.562 -1.437 0.913 0.615 mz
-0.205 0.146 NA NA mz
-0.153 0.755 -0.707 NA mz
-0.023 -1.279 NA NA mz
-0.113 0.363 -0.234 1.56 mz
-1.325 -1.797 NA -1.212 mz
2.702 1.493 1.254 1.669 mz
-2.278 -1.822 -0.356 NA mz
1.177 -0.076 NA NA mz
-0.541 -1.13 -0.647 -0.52 mz
0.653 NA NA NA mz
-0.557 -0.137 NA NA mz
-0.392 -1.468 -0.132 0.468 mz
0.319 0.59 NA NA mz
-0.393 -0.432 NA 0.328 mz
0.678 0.921 NA 0.939 mz
1.8 1.528 NA NA mz
0.44 0.725 -0.736 1.126 mz
0.49 0.811 NA 1.529 mz
0.298 0.611 NA 1.126 mz
-0.032 -0.031 0.203 -0.789 mz
0.542 NA NA -1.208 mz
-1.774 -1.329 -0.602 -1.183 mz
-1.593 -1.336 -1.659 -1.702 mz
-1.032 0.113 NA NA mz
0.932 1.214 -0.125 0.446 mz
-1.831 -0.735 -0.044 NA mz
1.244 0.609 -0.268 NA mz
-0.793 -0.942 -0.342 0.584 mz
-0.557 1.01 NA NA mz
-1.483 -0.005 0.229 -0.038 mz
-0.831 -0.982 0.301 0.368 mz
0.771 -0.165 NA -1.751 mz
-0.928 0.801 NA NA mz
-0.008 -1.014 NA 0.607 mz
-0.352 -0.264 -1.304 -0.833 mz
0.576 0.431 NA NA mz
0.759 0.558 0.607 0.684 mz
-0.118 -0.439 NA NA mz
0.454 1.109 NA NA mz
-0.485 -0.735 -1.41 -1.852 mz
-0.978 -0.372 2.524 0.653 mz
0.664 0.518 0.95 NA mz
0.785 0.518 0.826 0.92 mz
-1.751 -0.769 0.018 -1.104 mz
-0.526 NA NA NA mz
1.13 -0.124 NA 0.465 mz
-0.437 0.745 1.159 -1.147 mz
-0.597 -0.178 1.102 1.162 mz
1.094 -0.305 NA NA mz
0.29 0.503 0.591 -1.42 mz
1.309 0.414 0.174 0.293 mz
0.049 1.041 0.165 0.179 mz
0.992 -0.038 NA NA mz
-0.783 -0.637 NA -0.426 mz
-1.731 -1.042 NA NA mz
0.809 -0.069 NA 0.269 mz
1.902 0.951 -0.38 -0.151 mz
0.02 0.172 -1.266 -0.138 mz
-1.458 0.197 NA NA mz
0.095 1.132 1.121 1.015 mz
-0.774 -0.682 0.418 -0.101 mz
-0.703 0.285 -1.046 -1.475 mz
0.491 -0.722 0.688 0.184 mz
-0.427 0.462 NA NA mz
-0.602 -0.294 -0.359 -0.379 mz
-0.453 -0.247 NA NA mz
-1.176 -2.73 NA NA mz
0.3 0.936 0.69 -0.956 mz
0.456 -0.479 -1.05 -0.079 mz
0.3 -0.448 NA NA mz
NA -1.716 NA NA mz
1.14 0.085 0.179 -0.39 mz
0.578 0.222 0.128 -1.581 mz
2.25 1.647 NA NA mz
-0.862 -0.569 NA -1.758 mz
-0.182 0.779 NA NA mz
0.189 0.967 0.04 -0.262 mz
-0.942 -0.29 NA NA mz
NA -0.262 NA NA mz
0.712 1.252 0.07 0.947 mz
0.202 -0.082 1.128 1.068 mz
0.864 -0.633 NA NA mz
-0.375 0.212 -0.503 0.624 mz
-1.278 0.036 -0.688 -0.579 mz
0.689 0.9 -0.225 NA mz
-0.71 -0.691 NA NA mz
-0.722 -1.204 -0.607 -0.616 mz
1.958 1.434 NA 0.562 mz
-0.941 -0.971 -0.851 -1.125 mz
NA -0.578 NA NA mz
1.437 1.001 0.053 -0.238 mz
-0.382 0.703 1.079 0.123 mz
0.289 -1.591 NA -2.028 mz
-2.692 -1.614 NA -0.206 mz
-1.734 NA NA NA mz
NA 2.053 NA NA mz
-1.378 -2.307 -0.927 -1.925 mz
-0.184 1.672 NA NA mz
0.586 NA NA NA mz
-0.214 -0.51 NA NA mz
-1.362 -1.697 NA NA mz
0.34 -0.458 -1.395 -0.791 mz
1.017 0.659 -0.482 1.102 mz
0.742 0.383 NA NA mz
-0.732 -0.929 NA NA mz
0.17 0.079 NA -1.277 mz
-0.179 -0.258 -1.016 1.031 mz
NA 1.336 NA NA mz
1.091 0.885 0.834 -0.323 mz
-0.067 0.199 NA NA mz
-0.618 -0.026 NA NA mz
1.131 1.218 -0.604 0.452 mz
0.429 -0.047 NA 0.793 mz
-0.791 -0.984 0.917 -1.411 mz
-0.483 -0.352 -0.412 -0.037 mz
-0.224 -0.15 NA NA mz
-1.682 -2.394 -1.137 -2.528 mz
-1.207 -1.419 0.513 -1.101 mz
-0.138 1.243 -0.477 -1.622 mz
-0.437 -1.964 NA NA mz
0.905 -0.418 NA -0.657 mz
NA 0.865 NA NA mz
-0.168 0.469 NA NA mz
0.12 1.784 0.317 0.706 mz
-0.244 0.064 0.764 -1.641 mz
-0.379 NA NA NA mz
-0.786 -1.009 0.738 -1.283 mz
0.011 0.566 -0.112 NA mz
-0.033 -0.948 NA NA mz
-0.81 -0.726 -0.339 -1.531 mz
-0.01 -1.445 0.058 -0.545 mz
0.875 1.466 NA NA mz
NA 1.477 NA NA mz
0.506 1.263 NA NA mz
1.538 1.194 NA NA mz
1.636 0.497 NA -0.659 mz
-0.418 -1.04 NA 0.114 mz
NA 1.298 NA NA mz
-0.994 -1.543 -0.934 -0.183 mz
0.097 0.594 -0.299 0.909 mz
0.772 -0.468 1.543 -0.492 mz
-1.008 NA NA NA mz
1.612 0.469 NA NA mz
-0.277 -0.392 -0.112 0.589 mz
0.151 -0.276 2.085 -1.251 mz
1.778 1.252 1.306 -0.444 mz
-0.968 NA NA NA mz
1.03 1.304 -0.226 0.034 mz
1.756 0.256 1.067 -0.894 mz
2.15 2.479 -0.538 1.598 mz
-0.177 -0.086 NA NA mz
-0.235 0.987 NA NA mz
1.121 -0.331 NA NA mz
0.715 1.388 -0.881 0.57 mz
0.913 1.036 NA NA mz
NA -0.506 NA NA mz
-1.388 -1.423 NA NA mz
0.908 0.609 NA NA mz
0.276 -0.454 2.53 1.111 mz
-0.985 -0.38 NA NA mz
0.91 1.16 NA NA mz
0.778 1.204 NA -0.353 mz
-2.717 -0.504 -2.009 -0.815 mz
1.84 1.047 NA NA mz
0.988 NA NA NA mz
-1.22 -0.208 1.026 -0.815 mz
-0.507 0.834 0.324 -0.467 mz
0.321 0.119 0.575 2.332 mz
0.001 -0.283 -1.315 -0.839 mz
NA -1.16 NA NA mz
0.79 0.811 NA -0.059 mz
0.446 1.145 1.205 NA mz
0.803 -0.641 NA NA mz
1.211 -0.24 NA NA mz
0.282 0.377 -0.492 NA mz
-0.013 0.293 NA 0.38 mz
-0.303 0.634 1.377 0.818 mz
0.32 -0.141 -1.717 -0.629 mz
0.524 1.147 0.604 0.17 mz
-1.367 -1.339 -1.192 -0.048 mz
0.669 0.61 NA NA mz
0.795 0.716 NA -0.05 mz
-0.023 -0.562 NA NA mz
-0.207 0.406 1.228 -0.255 mz
0.93 1.709 NA -0.733 mz
-0.577 -0.617 NA NA mz
1.635 0.878 0.921 -0.035 mz
-0.689 -1.124 -0.773 NA mz
-1.274 -0.68 -0.649 -0.541 mz
-1.261 -2.408 NA -0.562 mz
0.459 0.031 0.443 -1.598 mz
-0.214 -0.127 NA NA mz
0.633 0.507 -0.209 0.847 mz
-0.875 -0.408 -0.866 0.231 mz
-0.186 -0.091 NA NA mz
-0.44 -0.139 0.22 0.18 mz
NA 0.604 NA NA mz
0.33 0.481 NA NA mz
-0.601 0.466 NA NA mz
-0.313 0.048 1.718 -0.886 mz
0.269 0.571 NA 0.623 mz
-1.65 -1.177 -2.003 -0.185 mz
-0.389 0.021 NA 0.792 mz
-0.12 -0.933 NA NA mz
0.34 1.669 0.848 0.856 mz
-0.006 1.042 NA -0.398 mz
-0.736 -0.767 0.249 -1.105 mz
-0.681 -1.751 -0.772 -0.466 mz
-0.585 -0.117 1.082 -2.119 mz
-2.49 NA NA NA mz
2.623 2.065 NA NA mz
0.296 NA NA NA mz
0.578 -0.04 NA NA mz
-1.32 -0.583 0.481 -0.861 mz
-0.649 -1.09 1.302 0.315 mz
-0.55 0.092 1.376 0.491 mz
NA -1.043 NA NA mz
1.768 1.974 0.458 1.658 mz
1.422 0.423 3.09 1.034 mz
0.059 -0.237 NA NA mz
0.341 1.384 0.2 0.786 mz
-0.082 -1.043 NA NA mz
-0.425 -0.604 NA NA mz
-1.072 -1.143 0.943 1.066 mz
-0.732 0.003 NA NA mz
-0.2 -0.905 -2.327 NA mz
-1.427 0.178 0.313 -1.89 mz
-0.074 0.263 -1.28 1.656 mz
0.019 -0.259 0.656 -1.222 mz
0.881 NA NA NA mz
0.2 1.112 NA NA mz
-0.4 NA NA NA mz
-1.164 -1.247 NA -1.861 mz
0.357 NA NA NA mz
0.523 0.808 NA NA mz
0.714 0.166 0.796 0.9 mz
0.427 -0.976 NA NA mz
-0.343 0.999 -0.359 0.408 mz
-0.431 0.371 NA -1.401 mz
0.957 1.101 0.916 0.017 mz
-0.746 -0.132 -1.241 NA mz
NA -0.539 NA NA mz
-0.863 -0.148 NA NA mz
-1.335 -1.339 -0.448 0.828 mz
0.363 -0.215 -0.398 -0.278 mz
-1.274 -0.14 NA 1.491 mz
0.479 0.528 1.199 NA mz
-0.445 -1.451 -0.008 0.23 mz
0.607 0.046 NA NA mz
-0.767 -0.304 -1.463 -1.669 mz
-2.394 -2.662 NA NA mz
1.208 -0.01 -0.868 0.066 mz
0.063 -0.455 NA NA mz
-0.486 -0.934 NA NA mz
0.337 -0.144 NA 0.258 mz
-0.223 -0.752 NA NA mz
-1.182 0.084 0.274 0.369 mz
0.177 0.021 NA NA mz
NA 0.193 NA NA mz
0.152 NA NA NA mz
-1.92 -1.362 -0.534 -1.093 mz
-0.713 0.007 0.021 -0.892 mz
1.995 1.769 1.494 1.116 mz
NA 1.318 NA NA mz
0.516 0.027 0.25 1.204 mz
NA -1.485 NA NA mz
-0.391 0.364 NA NA mz
1.147 0.666 1.079 -0.659 mz
0.552 -0.059 NA NA mz
-2.06 -1.065 NA NA mz
-1.4 -2.144 NA NA mz
-1.312 -0.718 -1.352 NA mz
-0.427 0.343 NA NA mz
-0.673 -1 0.42 -2.513 mz
-1.293 -1.751 NA -0.436 mz
0.594 1.437 -1.664 1.913 mz
-0.917 -0.527 0.408 -0.97 mz
-0.283 -1.108 NA NA mz
1.036 -0.287 -0.869 -0.52 mz
-0.439 -0.158 -1.279 -0.737 mz
-0.502 1.117 0.509 0.837 mz
0.857 0.621 2.535 0.571 mz
-1.316 -0.653 -0.664 -0.111 mz
-0.341 -1.445 0.229 -0.288 mz
1.491 0.343 1.461 -0.336 mz
0.44 -0.579 0.604 NA mz
0.24 -0.532 NA NA mz
2.295 2.378 NA NA mz
1.002 0.096 -0.857 -2.598 mz
-0.252 -0.48 -0.961 0.594 mz
0.384 0.659 0.39 0.883 mz
0.785 0.123 NA NA mz
-1.251 -1.37 -2.508 -0.551 mz
NA -1 NA NA mz
1.347 1.306 0.321 0.958 mz
0.497 0.439 0.714 -0.787 mz
1.471 0.641 NA NA mz
0.093 -1.003 NA NA mz
0.983 0.592 0.025 1.916 mz
-0.153 -0.265 NA NA mz
-1.275 -1.2 -1.615 1.079 mz
0.54 1.282 -0.733 0.631 mz
2 1.706 NA NA mz
-0.528 -1.155 NA NA mz
-1.759 NA NA NA mz
0.384 0.888 NA NA mz
0.959 0.023 NA NA mz
-1.191 -1.513 NA -0.305 mz
0.866 -0.295 1.361 NA mz
-0.221 -0.302 0.34 1.782 mz
1.402 NA NA NA mz
0.638 -0.241 NA NA mz
0.38 1.775 NA NA mz
-0.425 -1.782 -1.374 -2.386 mz
NA 0.32 NA NA mz
-0.48 -1.025 -0.576 0.062 mz
-1.321 -0.542 -0.997 0.908 mz
-0.512 -0.595 NA NA mz
-1.279 -2.656 NA NA mz
0.083 0.844 1.085 NA mz
0.064 -0.384 -1.38 NA mz
-0.468 -1.045 NA 1.904 mz
0.327 0.287 1.775 -0.515 mz
0.44 0.847 NA NA mz
0.692 -1.345 0.139 0.031 mz
0.668 1.265 0.714 0.938 mz
-1.563 -0.745 -0.526 -1.406 mz
-0.175 0.417 0.346 -0.049 mz
-1.818 -1.291 -1.016 -0.873 mz
1.242 0.993 0.055 1.442 mz
1.498 2.136 NA 1.044 mz
