"IDNum","Zygosity","X1","Y1","X2","Y2"
1061,"MZ",3.4257,2.4239,0.7191,1.0434
1062,"MZ",1.2132,0.9275,1.9839,1.092
1063,"MZ",2.1077,1.2601,-0.7465,-0.9251
1064,"MZ",-0.3944,-0.7191,-0.5893,-0.7509
1065,"MZ",0.0322,-0.4411,-0.099,0.1402
1066,"MZ",1.1659,1.1259,0.4861,0.3275
1067,"MZ",-0.2327,0.2194,-0.6781,-0.3938
1068,"MZ",-0.7218,-0.7237,1.2384,0.6172
1069,"MZ",-0.3434,-0.5285,-0.5002,0.003
1070,"MZ",1.7927,1.617,-0.5033,0.1132
1071,"MZ",0.1836,0.014,-0.322,0.0469
1072,"MZ",-1.2164,-1.2954,-0.8822,-0.7066
1073,"MZ",-1.1897,-1.0481,-1.7433,-1.558
1074,"MZ",-1.5743,-1.5092,-2.2192,-1.124
1075,"MZ",0.4127,0.2886,-0.087,0.1773
1076,"MZ",1.8917,1.3203,0.1287,-0.6917
1077,"MZ",2.0081,1.4118,1.8567,1.6785
1078,"MZ",-0.846,-0.4734,-2.2768,-1.8012
1079,"MZ",1.2067,1.1409,2.6477,1.1884
1080,"MZ",1.1461,0.5017,-0.0578,-0.0067
1081,"MZ",0.7504,0.0513,0.193,0.5716
1082,"MZ",3.9173,2.3533,5.289,3.7701
1083,"MZ",0.1921,-0.0258,-1.399,-0.8987
1084,"MZ",0.3313,0.239,1.6056,1.6244
1085,"MZ",0.4397,-0.1545,-1.1978,-0.0979
1086,"MZ",-0.4192,-0.2838,-0.1862,0.123
1087,"MZ",0.1201,-0.382,-0.9473,-0.8013
1088,"MZ",-1.8898,-1.2142,-1.3449,-1.6338
1089,"MZ",0.0238,0.5851,-0.2882,0.292
1090,"MZ",0.4376,0.6702,0.3082,0.1648
1091,"MZ",-3.8889,-2.8987,-1.6037,-0.7629
1092,"MZ",0.2258,0.7225,1.1118,0.4514
1093,"MZ",1.3637,0.8358,2.3125,1.9795
1094,"MZ",0.9425,0.6383,-0.0078,0.2
1095,"MZ",1.6783,0.6965,2.1721,2.2645
1096,"MZ",1.6142,1.112,1.1893,0.6918
1097,"MZ",2.0414,2.0127,2.0018,1.9049
1098,"MZ",2.2806,2.0571,1.2583,1.3142
1099,"MZ",1.087,0.4943,0.9659,0.8168
1100,"MZ",-1.5375,-0.5602,-0.7406,-0.6218
1101,"MZ",0.5058,0.6377,2.0723,1.6547
1102,"MZ",1.9162,1.5659,0.5546,0.6906
1103,"MZ",2.921,2.6381,2.086,2.044
1104,"MZ",1.6843,1.3459,2.1201,2.1001
1105,"MZ",1.0712,0.2753,1.8224,1.5219
1106,"MZ",-1.2328,-1.9119,-1.1948,-1.4764
1107,"MZ",2.0801,1.166,0.1501,0.2438
1108,"MZ",-1.013,-0.6487,-0.7325,-0.4173
1109,"MZ",-3.6639,-2.9523,-3.9816,-2.5339
1110,"MZ",-0.7691,0.0841,-1.0731,-1.3887
1111,"MZ",0.6025,-0.0582,-0.4107,-0.5692
1112,"MZ",-1.2115,-0.961,-0.844,-0.037
1113,"MZ",-0.6877,-0.5609,1.6399,0.9459
1114,"MZ",0.1347,0.3081,-1.1695,-0.9507
1115,"MZ",2.7191,1.8969,2.9946,2.1928
1116,"MZ",-1.0368,-0.4806,-1.3272,-1.1425
1117,"MZ",-1.124,-0.2834,-0.8776,-0.5338
1118,"MZ",-0.0551,0.5714,-0.7668,-0.3599
1119,"MZ",-1.5396,-0.4808,-0.4772,-0.3111
1120,"MZ",-0.6223,-0.6232,-0.594,-0.5679
1121,"MZ",0.608,0.0441,0.2255,-0.2584
1122,"MZ",-2.6476,-2.0138,-1.0985,-0.9181
1123,"MZ",-0.1427,-0.5528,-0.6405,0.1281
1124,"MZ",-0.9874,-0.8603,1.8474,1.629
1125,"MZ",-0.4877,-0.4047,-0.6697,-1.2767
1126,"MZ",-0.3709,-0.8557,0.3431,0.0134
1127,"MZ",0.1907,0.2013,-0.8303,-0.2739
1128,"MZ",0.888,0.8764,-0.9242,-0.5098
1129,"MZ",-0.0402,-0.2209,-0.3038,-0.8307
1130,"MZ",-1.0017,-0.6433,-1.3072,-1.3874
1131,"MZ",0.1065,0.4997,2.0785,1.368
1132,"MZ",1.443,0.7077,-0.711,0.3068
1133,"MZ",0.3058,0.3662,1.731,0.5114
1134,"MZ",-0.115,0.3192,-0.8294,-0.3357
1135,"MZ",-2.7959,-1.5271,-1.0618,-0.1662
1136,"MZ",-0.6018,0.3162,-2.6963,-1.9668
1137,"MZ",0.2357,-0.4548,-1.74,-1.2504
1138,"MZ",0.0359,0.3027,0.049,-0.0264
1139,"MZ",0.7843,0.0439,0.6712,0.5705
1140,"MZ",4.4457,3.2404,1.3913,1.114
1141,"MZ",1.0718,1.6462,-0.4069,-0.1367
1142,"MZ",-3.6311,-3.3072,-2.7245,-1.753
1143,"MZ",0.3491,0.4783,3.2642,2.1718
1144,"MZ",-1.422,-1.3658,1.7402,0.9585
1145,"MZ",0.2558,-0.0524,-1.2855,-1.8011
1146,"MZ",-1.1612,-0.1129,-1.716,-1.0549
1147,"MZ",-0.818,-1.0479,1.0666,0.8529
1148,"MZ",-1.1578,-0.6476,-1.3057,-0.9328
1149,"MZ",1.9978,2.0429,0.7261,1.5306
1150,"MZ",-0.7751,-0.5993,0.2121,-0.2903
1151,"MZ",-0.7809,-0.3906,-0.1505,0.0798
1152,"MZ",-2.7109,-2.0829,-0.1004,-0.7546
1153,"MZ",1.3688,0.9786,1.936,1.2292
1154,"MZ",-1.2169,0.1065,-2.376,-1.2489
1155,"MZ",-1.5616,-0.9449,-0.4439,0.3455
1156,"MZ",-1.6629,-0.7563,-2.4569,-2.0144
1157,"MZ",-0.011,-0.1137,-0.262,-0.2864
1158,"MZ",-1.8002,-1.1845,1.624,1.368
1159,"MZ",1.7269,1.1668,0.9251,0.6374
1160,"MZ",0.5445,-0.014,0.5679,0.6482
1161,"MZ",-0.0115,0.1965,-0.1579,0.3554
1162,"MZ",0.8001,0.3178,1.798,1.2782
1163,"MZ",-0.9772,-0.0355,-1.5161,-1.7633
1164,"MZ",-1.3232,-0.119,-2.2142,-2.1813
1165,"MZ",-1.5156,-0.2234,0.6696,0.3044
1166,"MZ",-0.7914,-0.5844,-1.7007,-1.346
1167,"MZ",2.2982,1.8065,1.6241,1.5342
1168,"MZ",4.1623,2.7158,4.7568,3.4128
1169,"MZ",-1.0331,-0.4286,-0.6615,0.2351
1170,"MZ",0.995,0.3845,-1.1819,-0.7178
1171,"MZ",-4.0358,-2.8407,-2.5621,-2.1457
1172,"MZ",-1.06,-0.9499,0.2064,0.5311
1173,"MZ",1.4534,0.661,0.328,0.3085
1174,"MZ",-3.3655,-1.8747,-2.4259,-1.238
1175,"MZ",3.3907,1.8484,0.9468,0.3827
1176,"MZ",0.4774,0.7297,0.9468,0.7966
1177,"MZ",2.3673,1.2977,0.448,0.6181
1178,"MZ",-0.1956,-0.7022,-3.9773,-2.6375
1179,"MZ",-4.0435,-3.0023,-1.5389,-0.4069
1180,"MZ",0.3138,0.5223,0.525,0.1501
1181,"MZ",0.1599,0.4965,-1.6791,-1.4771
1182,"MZ",3.2751,2.2346,0.7554,0.6842
1183,"MZ",-0.3184,-0.4162,-0.7587,0.2061
1184,"MZ",0.3737,0.7567,-1.1737,-0.3754
1185,"MZ",1.6497,0.9713,-2.225,-1.7301
1186,"MZ",1.3664,0.2688,-0.8186,-0.8897
1187,"MZ",-1.5217,-1.0352,2.6251,2.2132
1188,"MZ",0.9505,0.4286,-0.7113,-1.2987
1189,"MZ",0.573,0.3288,-0.2414,-0.8271
1190,"MZ",2.6085,2.197,2.0184,0.9528
1191,"MZ",-2.7876,-1.741,-0.9647,-0.6182
1192,"MZ",-3.1477,-2.2949,-1.4838,-1.1182
1193,"MZ",1.2279,1.0787,0.878,0.0519
1194,"MZ",1.8073,2.4229,-0.6653,-0.6979
1195,"MZ",-2.7973,-1.6318,-1.2119,-0.4109
1196,"MZ",-1.642,-1.1067,-2.0953,-1.2225
1197,"MZ",-2.663,-1.7601,-3.0538,-2.4333
1198,"MZ",0.3279,-0.3796,-1.6355,-1.3419
1199,"MZ",-1.4745,-1.0819,-1.2567,-0.7118
1200,"MZ",0.8997,1.5222,-1.1986,-1.2145
1201,"DZ",1.8121,0.5093,-0.0399,0.4482
1202,"DZ",2.3405,1.0825,-0.2303,0.2221
1203,"DZ",1.1512,0.7607,-0.6229,-0.3361
1204,"DZ",-1.2442,-0.705,0.2016,0.2215
1205,"DZ",-3.027,-0.6353,2.432,0.3066
1206,"DZ",1.87,0.7849,-0.8623,0.1096
1207,"DZ",-0.1449,0.1014,1.506,0.4856
1208,"DZ",-0.6712,0.4163,-2.9112,-0.192
1209,"DZ",0.4201,0.0893,2.8955,1.2534
1210,"DZ",-1.3973,-1.1608,-1.9447,0.1537
1211,"DZ",2.3645,0.9955,-3.6064,-1.5136
1212,"DZ",0.8521,-0.1596,0.4714,-0.3549
1213,"DZ",0.9532,0.8877,-0.6137,0.6385
1214,"DZ",0.9233,-0.6475,2.0209,-0.1173
1215,"DZ",-0.0752,-0.1667,-0.5891,0.2474
1216,"DZ",2.2962,-0.3224,3.4596,0.9517
1217,"DZ",-0.6056,-1.3392,-1.5893,-1.7156
1218,"DZ",3.2781,2.0497,1.1717,-0.2576
1219,"DZ",-2.462,-1.1592,-4.4,-1.1645
1220,"DZ",1.1913,1.0692,3.6928,-0.0505
1221,"DZ",0.3258,0.5586,0.6245,0.4076
1222,"DZ",3.3181,-0.556,3.1522,1.0502
1223,"DZ",3.46,1.5804,0.347,-0.9327
1224,"DZ",1.3307,0.4156,-2.4103,-1.2517
1225,"DZ",-0.2742,-1.3672,2.831,2.6216
1226,"DZ",-1.7324,-0.7951,0.2801,1.3098
1227,"DZ",1.9366,0.5874,-1.73,-0.3611
1228,"DZ",-1.7644,-0.5884,-0.2792,-1.4017
1229,"DZ",0.6386,1.4212,0.8794,-0.6869
1230,"DZ",-2.1353,-0.6041,2.1727,-0.1739
1231,"DZ",-0.9374,-0.8964,-1.4737,-0.1594
1232,"DZ",3.4413,1.1093,1.9581,1.315
1233,"DZ",-0.0255,-1.1294,-0.6867,-0.9317
1234,"DZ",-2.8047,-0.5406,-1.957,-0.6125
1235,"DZ",3.8228,-0.3664,0.6357,-0.4511
1236,"DZ",0.8317,1.0985,-1.2317,0.7367
1237,"DZ",1.4814,0.3214,-0.3579,-2.1401
1238,"DZ",-0.9156,-0.0269,1.2833,0.9031
1239,"DZ",0.1103,-1.3249,0.5352,0.0935
1240,"DZ",-0.9673,-1.0252,0.2746,-0.8213
1241,"DZ",-0.7557,0.1093,2.6666,0.1314
1242,"DZ",-0.221,-0.289,1.0036,0.4429
1243,"DZ",2.9489,1.8473,2.6661,1.1553
1244,"DZ",1.2078,0.3538,-3.7556,-1.1784
1245,"DZ",-0.7225,-0.6977,-0.1483,-0.4079
1246,"DZ",1.7435,-0.1478,0.7912,-0.1786
1247,"DZ",3.8708,2.3974,-0.0054,-0.1465
1248,"DZ",-3.2945,-0.0074,1.7061,-0.7555
1249,"DZ",3.7212,0.1727,1.9774,-0.132
1250,"DZ",2.2003,0.3005,1.7779,-0.2101
1251,"DZ",-1.0408,0.2951,-0.4107,0.1861
1252,"DZ",-0.1408,-0.3983,0.2505,0.0352
1253,"DZ",0.0194,-0.1563,0.2007,0.6557
1254,"DZ",-0.3232,-1.8044,1.2347,0.6058
1255,"DZ",-1.0002,-1.5647,-1.5103,0.0539
1256,"DZ",1.5906,1.4649,0.1245,1.1596
1257,"DZ",-2.29,-2.3315,1.7839,-0.344
1258,"DZ",-1.1021,-0.7903,0.613,1.2283
1259,"DZ",1.1012,0.1596,2.1661,-0.5416
1260,"DZ",1.0279,0.2485,2.478,0.633
1261,"DZ",-2.2595,-0.1085,-2.9903,-0.8889
1262,"DZ",2.5956,0.3783,1.616,1.0965
1263,"DZ",-0.8413,0.4575,-2.0013,-0.8467
1264,"DZ",-3.2097,-1.9929,-2.9353,-0.5218
1265,"DZ",-1.5407,0.1813,-2.0344,-1.0696
1266,"DZ",2.9476,0.1051,0.3577,0.1522
1267,"DZ",0.8873,1.138,-0.3036,-0.0761
1268,"DZ",-1.3659,-1.2081,-4.1006,-2.2296
1269,"DZ",3.1994,1.6136,3.405,1.0733
1270,"DZ",-2.7221,-0.8657,-1.0349,-0.6072
1271,"DZ",-1.8002,-0.666,1.5724,0.3756
1272,"DZ",0.8589,0.4679,0.7825,0.0927
1273,"DZ",2.2838,-0.5819,0.6744,0.7238
1274,"DZ",1.2913,0.2158,3.2946,0.0844
1275,"DZ",-1.1553,0.4388,1.2042,1.1689
1276,"DZ",1.7068,0.1462,0.8374,-0.5051
1277,"DZ",1.3279,-0.0795,-1.8689,-1.1494
1278,"DZ",0.8963,0.5665,-2.5883,-0.9804
1279,"DZ",0.8257,-0.2683,-0.6308,0.6136
1280,"DZ",0.4672,0.2738,-1.1495,-0.4912
1281,"DZ",-0.2364,0.1142,-0.0827,1.0468
1282,"DZ",0.0124,-0.1818,-0.2716,0.5638
1283,"DZ",1.4967,2.2639,-3.9559,-1.0999
1284,"DZ",1.8641,1.0034,0.0463,-0.9647
1285,"DZ",1.4196,-0.1001,-0.2303,-0.2009
1286,"DZ",-0.9577,-0.3802,-0.2525,0.3954
1287,"DZ",2.3033,-0.4671,5.4542,2.435
1288,"DZ",2.1926,0.8217,3.6646,0.6163
1289,"DZ",0.0742,0.2105,1.6478,-0.6689
1290,"DZ",3.2252,0.5256,1.8747,0.6908
1291,"DZ",1.399,0.7211,-2.0188,0.2932
1292,"DZ",3.1196,2.1768,-1.841,-0.9893
1293,"DZ",3.0483,0.7959,1.5823,1.1815
1294,"DZ",-2.8132,1.3337,-0.2093,-0.1169
1295,"DZ",-0.8289,-0.6835,-0.5676,-0.7926
1296,"DZ",0.2661,0.5353,2.5903,-0.4291
1297,"DZ",1.5741,0.0595,0.2496,-0.8387
1298,"DZ",-0.3714,-1.4048,1.2196,0.5122
1299,"DZ",-0.4424,-0.9981,-1.6203,-1.3496
1300,"DZ",-0.2135,-0.5723,2.7739,0.5565
1301,"DZ",-4.9693,0.1321,0.0554,0.1088
1302,"DZ",0.909,1.2454,1.5802,0.1538
1303,"DZ",3.9789,2.0028,0.4037,1.3242
1304,"DZ",0.298,0.4367,2.2644,0.6383
1305,"DZ",-1.1541,0.9307,-0.8428,-1.1371
1306,"DZ",-0.077,-0.3545,-2.5863,-1.4862
1307,"DZ",2.2209,0.5279,2.8223,0.7957
1308,"DZ",0.589,0.2682,3.1471,1.1043
1309,"DZ",1.7293,1.9154,-1.8912,-1.2936
1310,"DZ",3.925,1.3642,2.8187,0.1147
1311,"DZ",0.7883,-0.9236,-1.9641,-1.3729
1312,"DZ",3.6719,0.1596,-1.4199,-0.2657
1313,"DZ",-2.9231,0.4904,-1.8827,-0.1159
1314,"DZ",-4.3519,0.0278,-1.9185,-2.1733
1315,"DZ",-3.7689,-2.8229,2.597,-0.1169
1316,"DZ",-1.8701,0.5904,-0.9909,-0.7722
1317,"DZ",-0.522,-0.152,-0.9933,0.1218
1318,"DZ",-1.2437,1.1193,0.9408,0.3746
1319,"DZ",0.1132,0.1861,-0.4831,0.5113
1320,"DZ",1.0795,0.2287,1.036,1.1469
1321,"DZ",0.2995,-1.878,3.4769,0.5632
1322,"DZ",0.8393,0.4064,2.9005,0.4571
1323,"DZ",-3.7545,-0.1992,2.5827,0.3925
1324,"DZ",-0.6503,0.8319,0.1986,-0.1187
1325,"DZ",1.5205,0.7843,2.5593,-0.1621
1326,"DZ",-0.8493,0.7182,0.9932,0.4256
1327,"DZ",-0.2906,-0.0631,-0.5388,-1.2765
1328,"DZ",-1.3319,-0.3013,-4.0087,-0.6924
1329,"DZ",1.8764,0.5943,0.2798,1.3085
1330,"DZ",0.6597,0.1413,0.1467,0.3904
1331,"DZ",-2.8846,-1.4477,-1.3594,-1.0877
1332,"DZ",1.7902,0.023,1.6529,0.2718
1333,"DZ",-2.5201,-0.9651,-0.1857,1.3168
1334,"DZ",2.8812,0.1794,2.1771,0.3754
1335,"DZ",0.5146,-0.0814,-0.4008,0.3883
1336,"DZ",0.4594,-0.7267,-0.0515,-0.4172
1337,"DZ",2.1263,0.8285,-0.0427,-0.1889
1338,"DZ",0.4155,1.2407,-1.4242,0.7915
1339,"DZ",-0.8555,-1.0501,-2.1862,-0.5044
1340,"DZ",2.5918,0.4244,3.1127,0.4198
1341,"DZ",-0.4022,1.196,-0.2596,-0.2564
1342,"DZ",-0.9126,-0.019,-1.3437,-0.912
1343,"DZ",1.3761,0.3792,-0.0364,1.7726
1344,"DZ",0.5299,-0.9497,2.3823,0.7639
1345,"DZ",0.4112,-0.6297,1.8995,0.0921
1346,"DZ",-3.1183,-1.4871,0.4342,-1.2552
1347,"DZ",2.8354,1.7435,2.349,-0.8237
1348,"DZ",-0.4216,-0.5984,-0.3868,0.073
1349,"DZ",3.004,0.5859,1.0097,0.1493
1350,"DZ",0.0686,1.0869,-0.32,-0.2718
1351,"DZ",-1.2612,0.1135,-0.8286,1.8617
1352,"DZ",3.2887,-0.0283,0.9903,0.9112
1353,"DZ",-0.3449,0.5608,-0.8447,0.6077
1354,"DZ",-2.5157,-1.2239,-5.3418,-0.7446
1355,"DZ",-3.6454,-1.7947,-0.7798,0.3366
1356,"DZ",0.4317,0.1215,1.8546,1.8519
1357,"DZ",1.43,0.1543,-0.1267,-0.1381
1358,"DZ",-0.9953,-1.8726,-1.5545,-0.8246
1359,"DZ",2.6851,-0.1131,3.1959,0.9871
1360,"DZ",-0.0601,1.2385,1.4921,0.7646
1361,"DZ",-0.3933,-0.8013,-1.059,-0.583
1362,"DZ",1.4396,0.5659,-0.7184,-0.3096
1363,"DZ",-1.5193,-0.7899,-0.3446,-0.2353
1364,"DZ",-0.1025,-1.3948,3.6581,0.3038
1365,"DZ",-2.7345,0.8443,-0.0093,-0.6929
1366,"DZ",2.4743,-0.5727,0.0605,0.7625
1367,"DZ",-1.3481,-0.1167,0.472,1.0383
1368,"DZ",-1.2947,0.2283,-1.3438,0.7131
1369,"DZ",3.1357,1.1159,0.2316,-0.3439
1370,"DZ",-2.0014,-1.0175,-0.0828,0.6729
1371,"DZ",-0.4586,0.6929,-0.4449,-0.2162
1372,"DZ",-0.9166,-1.452,-1.7195,1.9983
1373,"DZ",-0.3779,-0.0658,-0.5189,0.468
1374,"DZ",0.3002,0.5701,-0.6512,-0.2264
1375,"DZ",-1.6794,-0.8194,-0.4966,-0.5237
1376,"DZ",-1.8865,-1.3784,-0.4225,-1.4038
1377,"DZ",-1.1501,0.1958,0.5577,-0.4008
1378,"DZ",-1.2841,-0.2151,-2.1597,0.3035
1379,"DZ",0.2374,-0.7134,-0.5133,-0.2717
1380,"DZ",0.7192,0.7422,-1.6572,-0.7713
1381,"DZ",0.9824,1.7304,0.8203,0.0109
1382,"DZ",-2.8823,-0.86,0.3281,0.0661
1383,"DZ",-1.6588,-1.4839,1.7992,0.3849
1384,"DZ",0.4992,0.0778,4.4516,1.2878
1385,"DZ",-1.6209,-0.0015,0.5863,-0.7919
1386,"DZ",-3.202,-1.5843,-2.7904,-1.9232
1387,"DZ",2.1414,0.7812,0.6253,1.0537
1388,"DZ",0.1558,1.4433,0.2595,-0.4638
1389,"DZ",1.5575,0.7097,2.9998,-0.3068
1390,"DZ",1.122,1.1555,2.1699,2.3148
1391,"DZ",-0.8427,-1.6092,-0.5144,-1.6671
1392,"DZ",1.0874,0.3531,-1.4687,-0.0783
1393,"DZ",-0.9813,-1.0948,0.7246,0.0598
1394,"DZ",1.4293,-0.3879,0.2953,-1.1939
1395,"DZ",0.9107,0.1569,-2.8812,0.2599
1396,"DZ",-1.5487,-1.5517,0.0101,0.9722
1397,"DZ",2.6694,0.6936,-0.6721,-0.1621
1398,"DZ",2.7715,0.4373,4.169,1.6155
1399,"DZ",-3.0968,-0.5713,1.404,0.0028
1400,"DZ",-2.3661,-0.4743,-1.2734,-0.4683
