"id" "Gender" "grade" "agey" "agem" "school" "visual" "cubes" "paper" "flags" "general" "paragrap" "sentence" "wordc" "wordm" "addition" "code" "counting" "straight" "wordr" "numberr" "figurer" "object" "numberf" "figurew" "deduct" "numeric" "problemr" "series" "arithmet" "paperrev" "flagssub"
26 "Male" "8" 13 1 "Grant-White" 35 31 18 31 56 12 23 38 25 68 67 121 188 172 100 102 -1 9 17 60 17 38 21 25 20 53
27 "Male" "8" 11 8 "Grant-White" 32 31 18 27 52 12 23 40 27 128 92 122 251 181 90 106 11 4 17 27 20 29 32 32 16 42
28 "Female" "8" 14 -1 "Pasteur" 40 36 19 26 53 12 17 27 18 92 95 118 232 201 103 107 13 9 15 24 19 33 30 27 21 35
29 "Female" "8" 11 8 "Pasteur" 27 25 15 14 28 7 18 28 1 101 77 116 212 166 91 102 7 -2 7 6 16 32 11 25 14 39
30 "Male" "7" 13 7 "Pasteur" 33 32 13 32 44 3 8 24 16 100 94 130 229 161 79 99 3 10 14 15 16 33 17 26 16 26
31 "Male" "8" 14 2 "Pasteur" 26 14 11 20 48 9 15 19 15 91 62 109 176 166 96 97 10 10 12 42 8 20 6 23 15 38
32 "Female" "7" 13 8 "Pasteur" 27 28 12 27 23 6 12 20 8 110 77 129 179 169 101 83 10 4 10 14 10 21 18 21 16 32
33 "Female" "8" 14 12 "Pasteur" 39 28 19 36 39 11 20 34 20 100 85 129 211 195 100 107 20 13 16 60 11 32 12 25 17 54
34 "Male" "7" 11 4 "Grant-White" 24 18 15 7 41 7 17 25 15 102 50 104 187 163 84 100 8 -1 13 20 10 8 18 29 15 37
35 "Female" "7" 13 8 "Pasteur" 23 21 18 6 47 12 21 27 25 103 72 89 196 168 94 104 8 9 13 9 14 26 24 22 14 25
36 "Female" "7" 13 6 "Pasteur" 28 35 17 30 33 10 19 21 19 83 66 78 193 183 90 100 -1 8 10 37 15 26 16 23 12 40
37 "Male" "7" 12 -1 "Pasteur" 31 24 16 18 37 6 20 27 11 89 78 89 210 191 91 97 7 6 5 34 22 30 21 23 16 47
38 "Female" "8" 13 3 "Grant-White" 33 31 14 14 34 9 18 22 5 87 97 104 229 180 93 108 11 13 14 59 18 22 27 25 17 31
39 "Female" "7" 15 5 "Pasteur" 16 21 14 12 22 6 10 20 4 73 41 68 153 182 89 103 9 8 13 12 9 21 10 16 17 35
40 "Male" "8" 13 10 "Pasteur" 31 28 15 24 61 11 19 34 28 70 62 92 187 158 86 96 6 2 13 26 13 31 26 18 17 39
41 "Male" "8" 11 8 "Grant-White" 38 23 13 20 50 9 23 31 21 82 61 104 157 182 89 108 8 4 11 56 13 33 20 27 16 39
42 "Female" "8" 14 -5 "Pasteur" 21 22 10 7 30 9 20 29 8 92 60 109 185 174 102 108 10 12 16 8 13 16 15 22 17 35
43 "Male" "8" 13 9 "Pasteur" 18 18 11 21 14 1 7 23 0 68 67 138 153 164 84 95 10 8 17 17 9 25 9 21 16 29
44 "Female" "8" 13 9 "Pasteur" 36 24 13 30 43 13 16 29 19 98 82 97 174 194 100 101 11 12 16 58 19 36 37 28 22 34
45 "Female" "7" 13 4 "Pasteur" 38 28 10 25 42 8 16 25 12 109 91 114 180 180 97 99 14 9 10 28 14 41 22 28 15 42
46 "Female" "7" 11 9 "Grant-White" 28 21 11 2 43 7 15 25 14 60 59 111 210 167 83 91 5 7 13 23 4 32 11 22 16 19
47 "Female" "8" 13 1 "Grant-White" 17 22 13 3 26 6 11 23 12 84 50 80 144 178 87 90 7 8 11 -18 6 2 15 19 14 23
48 "Female" "8" 14 2 "Pasteur" 33 30 20 40 55 12 25 33 21 104 78 126 208 182 87 114 6 10 17 31 23 32 24 18 16 50
49 "Male" "8" 14 -1 "Grant-White" 23 20 11 13 35 1 12 27 11 81 62 99 221 177 94 115 8 15 10 0 9 20 11 17 11 38
50 "Female" "8" 13 10 "Grant-White" 39 27 14 17 51 14 24 33 26 103 86 138 252 181 91 109 14 10 18 56 13 36 27 18 19 45
51 "Male" "8" 14 2 "Grant-White" 24 31 17 27 47 10 12 32 12 69 60 69 151 180 100 111 1 8 11 33 17 27 12 24 12 38
52 "Female" "8" 12 6 "Grant-White" 29 28 15 4 36 8 15 29 18 117 70 159 283 170 85 103 5 11 15 36 14 27 16 34 15 32
53 "Male" "8" 13 5 "Grant-White" 26 29 13 25 50 14 22 28 22 114 74 117 227 185 90 102 9 7 16 41 14 42 30 31 16 28
54 "Male" "8" 15 3 "Grant-White" 31 34 22 33 33 6 22 23 16 72 52 81 276 167 86 98 1 8 9 7 16 21 12 19 17 46
55 "Male" "8" 13 3 "Grant-White" 31 24 11 9 57 9 18 32 17 89 83 110 188 172 88 104 17 10 15 44 9 34 19 32 17 55
56 "Male" "8" 11 3 "Pasteur" 27 21 13 17 42 8 24 35 22 66 60 83 201 177 75 101 0 7 9 9 8 20 27 26 16 51
57 "Male" "8" 12 1 "Pasteur" 29 20 17 21 47 8 15 27 19 88 62 115 161 170 92 105 2 8 14 18 17 26 27 25 19 46
58 "Female" "8" 12 4 "Pasteur" 30 24 17 18 52 12 21 32 18 87 50 86 213 177 100 103 8 10 14 34 16 21 17 25 20 40
59 "Female" "7" 15 7 "Pasteur" 22 19 12 4 25 4 8 20 0 143 62 104 185 167 91 99 13 11 18 12 15 23 5 21 15 38
60 "Female" "8" 14 3 "Pasteur" 37 29 12 21 47 10 19 29 12 104 75 131 165 181 90 102 10 4 11 7 13 33 20 22 14 27
61 "Female" "8" 13 6 "Pasteur" 19 22 10 12 42 10 19 29 11 114 78 143 174 172 97 105 13 8 6 46 14 30 14 23 16 35
62 "Female" "8" 11 8 "Grant-White" 23 26 11 3 34 9 18 22 22 82 68 78 188 175 84 102 2 7 9 21 9 27 2 21 13 38
63 "Female" "8" 12 8 "Grant-White" 35 20 10 24 15 11 15 23 10 68 62 100 185 196 100 112 12 9 17 29 11 41 17 29 18 40
64 "Male" "8" 12 4 "Pasteur" 38 28 13 30 35 7 19 20 12 69 51 95 157 184 84 100 4 16 17 10 8 43 25 21 11 23
65 "Male" "8" 15 4 "Grant-White" 28 14 14 1 39 8 13 21 11 81 77 137 172 170 87 91 7 17 15 -1 9 21 7 23 13 20
66 "Female" "8" 15 5 "Pasteur" 33 24 15 18 31 4 12 15 14 112 78 156 265 167 104 106 14 19 14 19 13 31 20 24 11 49
67 "Female" "8" 12 1 "Grant-White" 36 29 15 9 26 6 20 28 8 90 63 113 195 189 105 111 9 12 14 25 17 30 27 24 14 42
68 "Male" "7" 14 -1 "Pasteur" 31 22 14 16 32 9 20 24 21 70 55 65 209 175 89 100 9 16 15 13 10 28 12 22 16 52
69 "Male" "8" 14 8 "Grant-White" 35 28 15 28 44 10 11 18 16 91 72 158 195 164 95 94 8 12 17 32 15 37 16 23 16 33
70 "Male" "8" 14 7 "Grant-White" 36 35 21 24 59 11 23 32 20 87 78 99 232 163 83 100 8 9 19 40 17 36 30 26 21 47
71 "Female" "8" 12 9 "Grant-White" 27 34 17 27 49 13 24 32 26 106 66 133 200 196 103 123 10 10 16 64 22 41 33 28 17 41
72 "Female" "8" 12 7 "Grant-White" 27 27 14 9 43 8 20 27 22 74 59 120 200 169 83 118 13 7 15 42 21 40 30 25 17 37
73 "Male" "8" 10 6 "Grant-White" 32 29 17 25 61 9 18 28 21 68 84 112 239 174 75 115 0 5 16 30 16 39 29 27 15 42
74 "Female" "8" 12 9 "Grant-White" 27 27 14 5 54 10 20 24 26 100 71 112 170 176 90 114 14 12 16 -1 10 27 26 28 18 22
75 "Male" "8" 14 3 "Pasteur" 45 32 20 35 64 18 25 33 29 127 67 119 179 179 91 107 6 13 9 23 18 33 35 28 21 49
76 "Male" "8" 13 9 "Pasteur" 33 36 14 24 39 7 20 30 21 92 65 122 183 206 96 115 12 13 14 56 16 29 18 24 19 39
77 "Female" "8" 11 11 "Grant-White" 31 30 15 5 58 13 25 30 19 113 58 120 148 167 84 103 7 8 12 16 13 19 13 26 17 16
78 "Male" "8" 12 5 "Pasteur" 34 19 15 16 39 12 16 18 15 116 67 129 187 182 103 98 12 20 10 52 15 9 11 27 14 42
79 "Male" "8" 13 4 "Grant-White" 33 29 17 26 39 9 18 29 12 100 83 85 233 186 93 113 9 9 9 7 14 17 26 19 21 42
80 "Female" "8" 14 7 "Grant-White" 36 24 15 14 59 11 16 24 15 130 72 118 162 183 97 105 15 16 12 2 11 24 18 32 14 36
81 "Male" "8" 13 2 "Grant-White" 39 27 19 24 68 12 29 34 38 121 74 145 268 177 89 111 17 8 17 69 24 49 30 35 17 45
82 "Male" "8" 13 9 "Grant-White" 45 31 14 24 55 11 18 30 18 44 94 103 184 192 94 108 -1 6 19 29 14 37 23 22 18 35
83 "Male" "8" 14 1 "Grant-White" 32 24 19 27 44 13 20 27 28 126 65 128 204 176 89 106 8 8 16 33 22 18 30 30 16 52
84 "Female" "7" 12 0 "Pasteur" 29 21 12 13 20 10 15 19 9 58 44 63 130 186 94 95 1 9 6 28 10 19 8 8 12 35
85 "Female" "8" 12 2 "Grant-White" 34 25 19 13 45 16 26 38 27 94 87 108 230 198 97 110 13 11 18 25 14 34 32 29 19 42
86 "Male" "8" 12 5 "Grant-White" 28 32 19 19 42 8 18 25 23 66 51 115 167 187 81 108 12 4 15 47 17 41 32 29 19 44
87 "Male" "8" 15 2 "Grant-White" 30 31 18 29 41 9 20 29 14 85 52 108 226 175 88 101 4 13 13 36 8 38 15 14 16 39
88 "Female" "7" 11 9 "Pasteur" 27 27 13 25 42 8 18 25 13 42 58 93 179 175 82 100 -2 4 15 16 15 25 27 30 16 37
89 "Male" "8" 15 6 "Pasteur" 31 33 15 37 19 7 11 20 8 126 75 131 203 159 84 100 5 12 18 20 14 21 11 29 15 35
90 "Female" "7" 13 6 "Pasteur" 30 27 12 7 43 12 14 28 7 91 92 108 201 165 85 109 7 12 6 10 16 33 24 20 14 42
91 "Male" "8" 13 5 "Grant-White" 30 23 15 28 57 13 19 29 26 52 55 119 179 176 101 97 8 13 20 37 14 33 22 24 17 39
92 "Female" "8" 14 14 "Pasteur" 13 24 13 9 28 -1 11 20 -3 117 64 126 160 164 88 93 6 7 11 6 18 22 15 29 17 21
93 "Female" "8" 12 4 "Pasteur" 32 31 11 18 35 10 15 23 17 93 73 101 220 183 95 113 14 4 13 34 15 37 20 27 12 33
94 "Male" "8" 14 11 "Pasteur" 45 26 16 26 59 12 22 26 23 114 70 118 207 168 96 121 12 9 14 59 18 34 27 28 16 41
95 "Female" "8" 13 5 "Pasteur" 31 27 15 21 40 6 13 30 16 109 66 131 258 178 92 101 15 19 19 26 20 36 30 24 20 47
96 "Female" "7" 12 7 "Pasteur" 34 26 18 20 49 12 21 23 23 98 79 106 235 180 84 105 14 11 20 25 14 21 21 23 15 27
97 "Female" "7" 15 3 "Pasteur" 37 17 14 15 39 8 17 16 6 130 85 139 257 179 88 111 10 2 11 18 11 14 19 22 11 24
98 "Female" "8" 12 6 "Grant-White" 29 27 9 28 43 12 27 29 21 76 93 98 240 184 89 116 8 14 19 8 16 43 27 31 15 31
99 "Male" "7" 13 7 "Pasteur" 24 20 14 12 24 8 11 19 9 89 45 104 149 167 79 92 3 2 5 2 13 18 2 21 13 28
100 "Female" "8" 12 5 "Grant-White" 37 21 14 9 49 11 18 27 19 55 63 96 196 171 85 106 2 5 19 24 9 39 24 20 19 30
101 "Male" "7" 12 9 "Pasteur" 43 27 14 30 48 15 19 28 24 133 100 120 188 189 95 111 13 10 9 44 13 28 23 29 13 34
102 "Male" "8" 14 11 "Pasteur" 24 22 11 22 35 7 17 17 12 102 73 111 176 164 87 103 5 4 10 11 15 28 4 25 14 32
103 "Male" "8" 14 8 "Grant-White" 26 12 11 7 45 7 16 16 16 90 61 107 154 178 78 102 4 8 9 12 12 21 -1 25 8 28
104 "Male" "7" 12 4 "Pasteur" 37 30 11 29 33 8 13 23 12 113 86 114 207 176 90 116 6 6 11 57 22 33 29 24 14 41
105 "Male" "7" 13 7 "Pasteur" 38 33 19 38 35 6 15 24 21 127 77 135 244 165 81 111 13 3 18 49 26 42 28 26 18 54
106 "Female" "8" 12 7 "Pasteur" 28 25 19 24 37 8 18 24 16 77 65 119 239 182 95 99 15 10 17 7 15 23 11 16 16 41
107 "Female" "8" 12 4 "Pasteur" 26 30 11 21 47 12 23 27 18 109 77 115 201 168 88 109 9 6 10 12 18 24 18 24 14 46
108 "Male" "8" 16 1 "Pasteur" 35 18 14 18 41 14 14 25 20 91 68 101 219 181 98 98 9 7 10 17 9 25 11 23 16 44
109 "Female" "8" 13 2 "Pasteur" 16 23 14 21 36 9 11 20 15 77 59 118 145 171 84 98 1 7 15 8 7 27 4 16 9 32
110 "Male" "8" 13 8 "Pasteur" 24 29 7 16 41 13 21 30 26 98 64 134 203 175 89 106 9 14 13 18 7 33 16 26 16 38
111 "Male" "8" 13 10 "Grant-White" 35 29 21 1 37 9 24 28 25 44 58 92 194 175 85 112 9 5 22 33 23 32 25 31 22 44
112 "Male" "8" 12 6 "Pasteur" 34 25 19 35 35 10 20 28 19 75 82 117 218 173 82 100 11 6 16 20 13 36 14 22 13 51
113 "Female" "8" 12 4 "Grant-White" 31 32 19 32 57 19 26 30 34 135 97 128 191 177 98 107 11 10 16 60 25 32 28 32 18 52
114 "Male" "8" 15 -4 "Pasteur" 24 22 13 5 45 9 15 19 11 108 55 124 185 181 91 94 2 4 14 4 6 21 8 16 16 14
115 "Male" "8" 13 2 "Pasteur" 37 27 16 21 41 5 8 25 14 107 59 99 159 198 94 98 8 11 8 31 13 27 17 25 13 40
116 "Female" "8" 11 9 "Pasteur" 32 25 12 20 51 10 20 31 17 104 58 104 204 179 94 99 10 11 15 42 16 33 34 22 16 37
117 "Male" "7" 15 4 "Pasteur" 29 14 16 8 7 7 15 16 6 99 69 126 190 195 87 94 13 8 17 11 13 14 8 21 16 28
118 "Female" "7" 12 0 "Pasteur" 32 22 14 11 27 11 15 33 7 43 62 96 168 183 90 99 1 10 16 9 3 22 19 16 21 28
119 "Male" "8" 12 11 "Grant-White" 36 20 16 26 46 12 19 32 16 98 78 106 196 189 98 110 8 16 13 41 11 33 27 32 16 40
120 "Female" "8" 12 4 "Grant-White" 30 25 11 11 36 8 17 27 13 85 65 122 169 167 84 109 8 6 14 12 13 12 10 28 13 45
121 "Male" "8" 12 5 "Grant-White" 15 22 12 14 46 9 16 27 16 94 55 75 127 189 99 102 8 3 13 18 9 37 27 30 9 22
122 "Female" "8" 12 4 "Grant-White" 22 21 9 20 42 9 18 31 15 100 80 86 162 168 101 113 14 15 14 31 15 22 16 23 10 37
123 "Male" "8" 12 5 "Pasteur" 26 29 14 15 39 7 10 27 8 79 68 80 133 169 99 109 2 8 16 21 19 23 15 19 17 44
124 "Male" "8" 14 4 "Pasteur" 31 30 16 28 44 9 20 28 18 90 95 142 190 183 86 103 14 18 8 59 13 33 18 24 13 44
125 "Male" "7" 12 0 "Grant-White" 33 25 14 6 54 11 23 30 24 100 73 79 218 196 94 109 6 7 12 11 10 21 17 21 10 27
126 "Female" "8" 13 1 "Pasteur" 34 20 14 17 37 11 14 30 18 121 67 115 196 209 102 112 13 17 18 12 15 24 11 28 18 41
127 "Male" "8" 14 4 "Pasteur" 29 22 14 21 35 9 14 19 9 102 76 127 227 188 93 102 10 8 12 42 11 20 13 21 16 40
128 "Male" "7" 11 8 "Pasteur" 39 28 15 21 34 11 14 23 20 87 47 86 121 182 99 111 7 13 12 41 19 36 19 27 13 40
129 "Male" "8" 14 6 "Pasteur" 32 23 13 14 52 11 24 28 24 59 35 131 203 183 93 108 3 6 15 50 9 36 21 17 18 45
130 "Female" "8" 13 8 "Grant-White" 18 15 12 8 48 8 22 30 22 125 75 109 164 173 84 87 2 8 13 -38 10 20 0 26 11 21
131 "Female" "8" 15 6 "Pasteur" 16 29 11 4 22 1 11 15 3 76 44 116 163 180 92 101 15 13 9 -7 -1 7 -1 13 14 22
132 "Male" "8" 14 10 "Pasteur" 35 28 12 17 53 10 14 22 20 110 76 121 179 160 87 92 6 4 16 12 13 30 21 23 18 31
133 "Male" "7" 15 4 "Pasteur" 26 24 16 20 22 4 15 17 6 93 65 163 237 178 87 97 3 5 13 24 20 22 12 23 16 28
134 "Male" "8" 13 5 "Grant-White" 43 35 17 20 56 12 22 30 32 93 63 133 220 158 87 108 7 11 17 46 19 48 42 26 21 43
135 "Female" "8" 12 6 "Grant-White" 15 24 13 11 46 9 24 28 19 99 68 105 186 185 92 98 5 15 12 31 14 33 12 26 13 35
136 "Male" "8" 13 4 "Grant-White" 30 22 17 21 58 12 23 35 23 85 77 106 188 175 95 111 7 12 17 52 23 48 16 35 16 51
137 "Female" "8" 13 7 "Pasteur" 27 30 18 17 55 18 22 33 24 153 84 133 220 188 106 112 15 8 10 47 20 23 25 28 15 41
138 "Male" "7" 14 7 "Pasteur" 22 14 20 11 36 7 10 17 22 115 46 143 128 169 86 96 6 6 13 22 10 19 14 17 17 30
139 "Male" "8" 13 5 "Grant-White" 30 31 13 26 41 7 12 36 7 112 61 117 182 176 101 101 12 10 16 32 15 30 22 18 18 38
140 "Female" "7" 12 8 "Pasteur" 28 22 12 24 24 9 17 26 11 68 55 118 222 171 74 103 11 3 13 37 12 27 19 21 17 53
141 "Female" "8" 14 7 "Pasteur" 33 17 8 19 19 8 10 19 14 115 71 125 239 172 93 99 13 9 18 24 15 23 21 23 14 38
142 "Male" "8" 13 1 "Pasteur" 26 13 16 16 27 3 9 22 4 77 78 100 164 179 110 102 14 18 17 27 12 16 2 19 16 26
143 "Male" "8" 12 5 "Grant-White" 25 28 12 9 46 6 16 27 12 84 72 112 175 169 81 101 10 8 17 11 6 26 11 22 18 16
144 "Female" "8" 12 11 "Grant-White" 21 29 15 18 60 16 25 37 25 100 69 112 231 182 95 106 5 5 18 60 22 35 30 25 20 45
145 "Female" "8" 12 5 "Grant-White" 32 21 14 1 33 11 17 24 12 80 68 108 233 168 92 104 7 7 18 28 12 37 14 28 18 31
146 "Female" "7" 13 6 "Pasteur" 43 20 14 9 19 11 15 26 9 69 74 85 171 178 97 94 9 10 12 19 15 31 15 20 18 37
147 "Male" "8" 13 2 "Grant-White" 23 22 19 22 24 3 14 21 3 88 44 93 235 169 83 100 4 9 14 31 8 14 8 21 16 37
148 "Male" "8" 14 -2 "Pasteur" 40 27 13 36 42 10 16 27 13 81 77 126 167 146 88 113 4 14 12 34 16 43 27 23 12 48
149 "Female" "8" 13 4 "Pasteur" 41 30 18 30 66 18 25 36 30 150 93 109 230 196 91 103 12 10 14 26 23 37 43 28 19 49
150 "Female" "8" 13 3 "Grant-White" 23 25 10 6 34 7 14 23 8 76 39 112 145 166 84 98 4 11 16 25 9 25 23 18 15 31
151 "Female" "8" 13 3 "Grant-White" 22 23 9 18 40 4 16 28 11 101 77 105 184 163 85 96 8 5 14 15 10 25 14 29 11 28
152 "Male" "8" 14 7 "Pasteur" 39 27 18 21 50 12 23 28 25 118 83 125 216 159 92 104 15 11 11 57 20 36 40 27 15 41
153 "Female" "8" 12 12 "Grant-White" 29 24 12 8 32 10 17 31 15 106 80 124 133 200 98 111 11 13 23 60 15 28 17 27 17 19
154 "Female" "8" 12 -2 "Pasteur" 28 24 12 21 35 11 17 30 15 114 84 107 195 188 85 112 7 7 10 22 14 18 24 29 15 32
155 "Male" "8" 14 9 "Pasteur" 32 23 13 24 60 11 18 29 18 120 85 105 214 168 92 109 8 13 15 29 20 25 27 26 17 33
156 "Male" "8" 13 0 "Grant-White" 21 25 11 18 21 0 7 15 2 43 65 95 198 152 91 99 5 -2 11 5 12 8 18 19 15 30
157 "Male" "8" 14 4 "Grant-White" 33 19 15 25 48 15 19 28 21 59 63 108 151 167 70 103 1 4 20 21 18 36 19 27 15 38
158 "Male" "8" 13 0 "Pasteur" 27 23 15 27 51 16 22 32 16 75 74 85 200 167 83 105 3 6 15 15 17 13 18 23 16 40
159 "Male" "8" 13 3 "Grant-White" 35 21 15 10 36 8 17 26 12 69 48 123 175 178 92 95 10 12 12 -1 11 25 15 23 17 39
160 "Male" "8" 13 4 "Grant-White" 21 25 14 23 30 5 12 20 13 96 30 108 138 137 71 82 -1 7 14 11 10 22 11 25 16 35
161 "Male" "8" 15 -2 "Pasteur" 28 27 14 34 62 9 22 31 15 112 77 125 247 172 91 112 13 12 11 30 17 39 22 29 13 46
162 "Male" "7" 14 7 "Pasteur" 42 22 20 23 60 12 19 27 25 102 64 119 211 169 79 97 8 12 14 29 13 31 27 22 20 44
163 "Male" "8" 14 10 "Grant-White" 34 26 13 22 62 18 27 33 20 99 77 109 247 166 96 102 6 7 10 62 15 23 20 26 18 34
164 "Male" "8" 13 5 "Grant-White" 35 25 17 22 61 14 30 40 28 100 58 138 196 185 89 114 9 5 18 50 16 35 26 30 16 51
165 "Female" "8" 13 3 "Grant-White" 19 19 13 11 38 7 14 28 2 89 69 85 117 184 82 98 4 12 11 4 4 3 -2 22 12 23
166 "Male" "8" 14 4 "Grant-White" 33 28 20 25 67 14 27 34 34 103 86 144 290 190 98 106 21 9 16 51 15 36 28 31 20 45
167 "Male" "7" 12 3 "Pasteur" 31 26 17 14 45 5 13 16 14 82 50 102 137 169 90 102 15 8 7 11 11 20 15 21 19 31
168 "Male" "8" 15 4 "Pasteur" 31 19 11 14 47 8 15 23 14 129 64 105 152 175 79 94 5 18 10 18 9 32 14 18 14 37
169 "Female" "7" 11 8 "Pasteur" 38 24 15 18 45 11 18 27 24 124 95 137 207 178 95 107 17 12 16 34 9 26 13 25 18 30
170 "Male" "8" 13 3 "Grant-White" 25 12 13 -1 45 6 17 22 4 98 41 83 141 171 85 103 3 8 13 16 7 24 3 24 13 24
171 "Female" "8" 14 7 "Pasteur" 34 32 16 21 40 10 16 25 10 96 99 139 183 178 96 109 12 7 9 -6 10 26 24 15 14 41
172 "Female" "8" 13 4 "Pasteur" 30 20 11 6 32 8 14 26 12 90 89 89 254 184 93 95 10 8 11 17 12 16 10 24 18 27
173 "Male" "8" 14 2 "Grant-White" 38 25 17 21 57 9 20 26 14 99 82 126 237 168 91 103 12 13 16 57 13 34 16 27 22 38
174 "Female" "7" 13 1 "Pasteur" 29 33 16 20 30 15 14 19 20 105 74 107 154 178 85 114 6 4 14 19 20 34 28 27 13 25
175 "Male" "8" 12 4 "Grant-White" 34 25 19 29 45 12 18 35 26 51 58 69 146 177 96 103 11 8 15 33 12 39 20 22 17 55
176 "Male" "8" 15 4 "Grant-White" 25 21 12 13 17 6 13 18 8 115 67 125 215 161 85 106 17 11 16 26 12 12 0 27 13 38
177 "Female" "8" 12 2 "Pasteur" 8 20 8 -2 13 6 8 19 0 114 64 98 143 163 71 89 4 4 11 11 4 6 -3 19 9 13
178 "Male" "8" 13 5 "Pasteur" 17 20 14 14 51 7 16 25 13 161 97 116 206 163 82 104 8 4 13 19 15 16 22 23 11 27
179 "Male" "8" 14 8 "Grant-White" 25 26 10 30 48 11 24 34 21 69 44 115 165 193 112 110 10 12 14 46 13 27 25 27 19 24
180 "Female" "7" 13 6 "Pasteur" 25 25 10 7 19 5 7 14 1 78 64 96 146 173 82 96 6 8 15 23 11 29 14 22 12 26
181 "Female" "8" 13 1 "Grant-White" 21 20 12 21 28 8 18 32 8 66 80 99 201 180 91 106 9 7 15 9 7 32 11 21 14 34
182 "Male" "8" 14 2 "Grant-White" 35 29 16 28 61 11 15 34 8 71 39 112 166 162 85 93 -7 -1 12 31 6 34 22 24 24 40
183 "Female" "8" 12 10 "Grant-White" 33 31 13 33 44 9 25 37 16 124 81 117 228 181 82 107 13 12 22 50 13 41 31 39 22 50
184 "Male" "8" 12 11 "Grant-White" 37 23 18 17 45 11 18 26 28 111 69 102 155 203 98 102 4 15 14 44 16 26 18 24 11 42
